Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Emmaus,11/15/17,74-63,11,30-67/20-62,.448/.323,4-15/6-23,.267/.261,10-17/17-24,.588-.708,44/43 1,7/6,17/19,3/1,10/8,23/20
Central,11/16/17,82-99,-17,31-72/31-67,.431/.463,4-17/14-27,.235/.519,16-22/23-32,.727-.719,34/51 -17,10/28,11/15,2/6,7/4,24/17
Buena Vista,11/21/17,54-67,-13,22-61/26-67,.361/.388,3-13/9-25,.231/.360,7-13/6-12,.538-.500,39/46 -7,8/13,16/17,3/7,7/9,10/16
Kansas Christian College,11/25/17,67-41,26,29-75/16-50,.387/.320,1-14/3-15,.071/.200,8-16/6-14,.500-.429,44/44 0,14/4,17/32,4/0,15/10,16/17
Iowa Wesleyan University,11/28/17,67-57,10,23-60/19-65,.383/.292,4-11/9-29,.364/.310,17-19/10-17,.895-.588,37/48 -11,7/12,16/23,7/1,10/7,20/17
Beloit College Women's BBALL,12/01/17,56-79,-23,20-63/27-63,.317/.429,0-9/7-23,.000/.304,16-24/18-24,.667-.750,39/43 -4,4/18,22/17,4/3,8/12,23/27
Lake Forest,12/02/17,70-78,-8,25-67/27-67,.373/.403,4-11/6-18,.364/.333,16-20/18-25,.800-.720,42/44 -2,6/17,16/14,4/2,6/9,22/17
Cornell College,12/06/17,59-86,-27,20-54/31-60,.370/.517,9-20/10-27,.450/.370,10-13/14-20,.769-.700,34/34 0,11/21,23/12,2/2,7/17,18/16
Lawrence,12/09/17,69-57,12,20-53/20-57,.377/.351,7-20/5-12,.350/.417,22-32/12-18,.688-.667,42/37 5,10/13,14/13,3/1,6/6,16/26
Ripon,01/03/18,51-62,-11,19-49/24-60,.388/.400,2-8/3-12,.250/.250,11-16/11-15,.688-.733,28/42 -14,6/13,16/14,4/8,8/11,13/15
Lake Forest,01/12/18,56-46,10,17-59/18-57,.288/.316,7-18/2-18,.389/.111,15-20/8-13,.750-.615,43/42 1,8/12,16/18,0/2,9/7,16/19
Beloit,01/13/18,59-55,4,21-54/20-52,.389/.385,1-11/7-17,.091/.412,16-21/8-14,.762-.571,40/31 9,9/13,14/14,3/1,8/6,17/18
Monmouth (IL),01/17/18,62-60,2,22-52/25-55,.423/.455,7-14/3-11,.500/.273,11-14/7-8,.786-.875,29/32 -3,17/17,12/16,4/3,9/5,10/13
Ripon College,01/20/18,47-63,-16,14-43/26-67,.326/.388,1-6/4-15,.167/.267,18-25/7-14,.720-.500,27/49 -22,2/19,14/15,10/4,8/6,8/21
Cornell College,01/24/18,50-70,-20,17-46/27-60,.370/.450,4-12/9-27,.333/.333,12-17/7-13,.706-.538,29/39 -10,9/22,20/16,2/1,9/9,18/19
Lawrence University,01/27/18,64-71,-7,21-56/23-54,.375/.426,4-21/7-15,.190/.467,18-30/18-30,.600-.600,34/41 -7,7/17,12/15,2/0,8/6,22/21
Monmouth (IL),01/30/18,63-80,-17,19-49/27-52,.388/.519,5-19/8-16,.263/.500,20-24/18-22,.833-.818,26/32 -6,10/22,19/22,4/1,9/11,19/18
Illinois College,02/03/18,67-68,-1,24-63/26-59,.381/.441,7-19/3-12,.368/.250,12-15/13-22,.800-.591,34/44 -10,14/16,17/22,2/3,13/11,18/20
Knox College,02/07/18,48-64,-16,18-50/24-50,.360/.480,4-17/6-15,.235/.400,8-17/10-21,.471-.476,27/44 -17,13/20,16/19,1/5,3/9,19/19
St. Norbert College,02/10/18,46-60,-14,17-57/26-61,.298/.426,3-9/2-10,.333/.200,9-13/6-7,.692-.857,33/45 -12,5/13,13/14,2/3,6/7,11/15
Knox,02/13/18,62-74,-12,24-66/29-56,.364/.518,6-21/6-20,.286/.300,8-10/10-11,.800-.909,27/44 -17,16/17,4/14,1/1,7/3,9/9
Illinois College,02/17/18,58-59,-1,20-65/22-59,.308/.373,3-21/5-15,.143/.333,15-17/10-19,.882-.526,41/45 -4,6/10,12/16,2/1,4/6,18/18
