Statistic,High,Opponent
POINTS,82,Central (11/16/17)
FIELD GOALS MADE,31,Central (11/16/17)
FIELD GOAL ATTEMPTS,75,Kansas Christian College (11/25/17)
3 PT FIELD GOALS MADE,9,Cornell College (12/06/17)
3 PT FG ATTEMPTS,21,Knox (02/13/18); Lawrence University (01/27/18); Illinois College (02/17/18)
FREE THROWS MADE,22,Lawrence (12/09/17)
FREE THROW ATTEMPTS,32,Lawrence (12/09/17)
REBOUNDS,44,Emmaus (11/15/17); Kansas Christian College (11/25/17)
ASSISTS,17,Monmouth (IL) (01/17/18)
STEALS,15,Kansas Christian College (11/25/17)
BLOCKED SHOTS,10,Ripon College (01/20/18)
TURNOVERS,23,Cornell College (12/06/17)
FOULS,24,Central (11/16/17)
