Name,GP,Pts,Pts/G
"#42 Morrissey, Kayla",22,456,20.7
"#25 Heath, Tyria",22,261,11.9
"#14 Kasprak, Regan",22,237,10.8
"#13 Kessel, Hanna",20,111,5.6
"#22 Woolam, Olivia",22,69,3.1
"#34 Hellweg, Abby",22,48,2.2
"#20 Collier, Claire",20,44,2.2
"#24 Giles, Margaret",22,29,1.3
"#44 Guzzo, Daria",11,28,2.5
"#11 Kricfalusi, Mikayla",20,28,1.4
"#10 Hanlon, May",17,20,1.2
