Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
Emmaus,11/15/17,63-74,L,20-62,0.323,6-23,0.261,17-24,0.708,16,27,43,43.0,20,6,19,1,8,63,63.0
Central,11/16/17,99-82,W,31-67,0.463,14-27,0.519,23-32,0.719,16,35,51,47.0,17,28,15,6,4,99,81.0
Buena Vista,11/21/17,67-54,W,26-67,0.388,9-25,0.36,6-12,0.5,14,32,46,46.7,16,13,17,7,9,67,76.3
Kansas Christian College,11/25/17,41-67,L,16-50,0.32,3-15,0.2,6-14,0.429,10,34,44,46.0,17,4,32,0,10,41,67.5
Iowa Wesleyan University,11/28/17,57-67,L,19-65,0.292,9-29,0.31,10-17,0.588,22,26,48,46.4,17,12,23,1,7,57,65.4
Beloit College Women's BBALL,12/01/17,79-56,W,27-63,0.429,7-23,0.304,18-24,0.75,13,30,43,45.8,27,18,17,3,12,79,67.7
Lake Forest,12/02/17,78-70,W,27-67,0.403,6-18,0.333,18-25,0.72,16,28,44,45.6,17,17,14,2,9,78,69.1
Cornell College,12/06/17,86-59,W,31-60,0.517,10-27,0.37,14-20,0.7,10,24,34,44.1,16,21,12,2,17,86,71.3
Lawrence,12/09/17,57-69,L,20-57,0.351,5-12,0.417,12-18,0.667,9,28,37,43.3,26,13,13,1,6,57,69.7
Ripon,01/03/18,62-51,W,24-60,0.4,3-12,0.25,11-15,0.733,17,25,42,43.2,15,13,14,8,11,62,68.9
Lake Forest,01/12/18,46-56,L,18-57,0.316,2-18,0.111,8-13,0.615,13,29,42,43.1,19,12,18,2,7,46,66.8
Beloit,01/13/18,55-59,L,20-52,0.385,7-17,0.412,8-14,0.571,11,20,31,42.1,18,13,14,1,6,55,65.8
Monmouth (IL),01/17/18,60-62,L,25-55,0.455,3-11,0.273,7-8,0.875,8,24,32,41.3,13,17,16,3,5,60,65.4
Ripon College,01/20/18,63-47,W,26-67,0.388,4-15,0.267,7-14,0.5,22,27,49,41.9,21,19,15,4,6,63,65.2
Cornell College,01/24/18,70-50,W,27-60,0.45,9-27,0.333,7-13,0.538,17,22,39,41.7,19,22,16,1,9,70,65.5
Lawrence University,01/27/18,71-64,W,23-54,0.426,7-15,0.467,18-30,0.6,9,32,41,41.6,21,17,15,0,6,71,65.9
Monmouth (IL),01/30/18,80-63,W,27-52,0.519,8-16,0.5,18-22,0.818,9,23,32,41.1,18,22,22,1,11,80,66.7
Illinois College,02/03/18,68-67,W,26-59,0.441,3-12,0.25,13-22,0.591,8,36,44,41.2,20,16,22,3,11,68,66.8
Knox College,02/07/18,64-48,W,24-50,0.48,6-15,0.4,10-21,0.476,15,29,44,41.4,19,20,19,5,9,64,66.6
St. Norbert College,02/10/18,60-46,W,26-61,0.426,2-10,0.2,6-7,0.857,14,31,45,41.6,15,13,14,3,7,60,66.3
Knox,02/13/18,74-62,W,29-56,0.518,6-20,0.3,10-11,0.909,9,35,44,41.7,9,17,14,1,3,74,66.7
Illinois College,02/17/18,59-58,W,22-59,0.373,5-15,0.333,10-19,0.526,17,28,45,41.8,18,10,16,1,6,59,66.3
Grinnell College,,-,,473-1281,0.369,90-326,0.276,295-415,0.711,239,534,773,35.1,370,199,337,69,177,1331,60.5
Opponents,,-,,534-1300,0.411,134-402,0.333,257-395,0.651,295,625,920,41.8,398,343,377,56,179,1459,66.3
