#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
42.0,"Morrissey, Kayla 42 Morrissey, Kayla",22,22.0,745,135,307,0.44,18,57,0.316,168,211,0.796,456,20.7
25.0,"Heath, Tyria 25 Heath, Tyria",22,21.0,621,94,219,0.429,18,55,0.327,55,80,0.688,261,11.9
14.0,"Kasprak, Regan 14 Kasprak, Regan",22,20.0,713,96,275,0.349,17,65,0.262,28,48,0.583,237,10.8
13.0,"Kessel, Hanna 13 Kessel, Hanna",20,8.0,479,43,91,0.473,17,50,0.34,8,10,0.8,111,5.6
22.0,"Woolam, Olivia 22 Woolam, Olivia",22,3.0,196,24,81,0.296,18,65,0.277,3,6,0.5,69,3.1
34.0,"Hellweg, Abby 34 Hellweg, Abby",22,13.0,390,22,61,0.361,0,7,0.0,4,8,0.5,48,2.2
44.0,"Guzzo, Daria 44 Guzzo, Daria",11,9.0,220,11,52,0.212,0,1,0.0,6,14,0.429,28,2.5
20.0,"Collier, Claire 20 Collier, Claire",20,1.0,270,16,78,0.205,2,20,0.1,10,12,0.833,44,2.2
11.0,"Kricfalusi, Mikayla 11 Kricfalusi, Mikayla",20,10.0,303,11,40,0.275,0,0,0.0,6,13,0.462,28,1.4
24.0,"Giles, Margaret 24 Giles, Margaret",22,3.0,370,14,54,0.259,0,1,0.0,1,2,0.5,29,1.3
10.0,"Hanlon, May 10 Hanlon, May",17,0.0,89,7,23,0.304,0,5,0.0,6,11,0.545,20,1.2
35.0,"Dos Santos, Stephany 35 Dos Santos, Stephany",1,0.0,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
35.0,"Dos Santos, Stephany 35 Dos Santos, Stephany",1,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
,Total,22,,4399,473,1281,0.369,90,326,0.276,295,415,0.711,1331,60.5
,Opponents,22,,4401,534,1300,0.411,134,402,0.333,257,395,0.651,1459,66.32
