Name,GP,AST,AST/G
"#42 Morrissey, Kayla",22,59,2.7
"#14 Kasprak, Regan",22,43,2.0
"#25 Heath, Tyria",22,36,1.6
"#34 Hellweg, Abby",22,17,0.8
"#13 Kessel, Hanna",20,15,0.8
"#20 Collier, Claire",20,11,0.6
"#24 Giles, Margaret",22,8,0.4
"#11 Kricfalusi, Mikayla",20,4,0.2
"#22 Woolam, Olivia",22,4,0.2
"#44 Guzzo, Daria",11,1,0.1
"#10 Hanlon, May",17,1,0.1
