0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2015-16,14,1089,-,235,149,77,72,1,7,1,6,6,395-37,.914,77.8
2016-17,14,1040,-,232,140,71,70,5,8,3,7,7,346-6,.983,74.3
2017-18,13,983,-,226,141,73,70,4,8,2,6,7,349-15,.959,75.6
2018-19,18,1362,303,-,147,72,72,2,9,2,4,8,437-18,.960,75.7
Totals,59,4474,303,226,140,71,70,12,32,8,23,28,1527-76,.953,75.8
