Unnamed: 0,Time,Athletes,Meet,Meet Date
,4:15.45,"Kauffman, Villa, Dalla Betta, Bottum",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,4:21.78,"Villa, Bottum, Cohen, Dalla Betta",Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,4:23.31,"Cohen, Olowu, Villa, Frasca",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,4:24.49,"Olowu, Dalla Betta, Villa, Bottum",Darren Young Classic,"Feb 15, 2020"
,4:27.57,"Cohen, Kauffman, Frasca, Schaefer",Darren Young Classic,"Feb 15, 2020"
,4:29.03,"Bottum, Olowu, Frasca, Kauffman",Hilltop Invitational,"Jan 25, 2020"
,4:38.29,"Villa, Frasca, Bottum, Olowu",Dutch Athletic Classic 2020,"Jan 18, 2020"
