Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Olowu, Paige",SO-2,27.39,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020",NWI
,"Olowu, Paige",SO-2,27.56,Hilltop Invitational,"Jan 25, 2020",NWI
,"Dalla Betta, Francesca",SO-2,28.02,2020 Grinnell Indoor Invitational,"Feb 1, 2020",NWI
,"Olowu, Paige",SO-2,28.25,2019 Pioneer Indoor Preview Meet,"Dec 6, 2019",NWI
,"Cohen, Sydney",FR-1,28.64,Liz Wuertz Indoor Invitational,"Feb 22, 2020",NWI
,"McCabe, Madeline",SO-2,28.64,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020",NWI
,"McCabe, Madeline",SO-2,29.0,Darren Young Classic,"Feb 15, 2020",NWI
,"Dalla Betta, Francesca",SO-2,29.03,Hilltop Invitational,"Jan 25, 2020",NWI
,"McCabe, Madeline",SO-2,29.28,Liz Wuertz Indoor Invitational,"Feb 22, 2020",NWI
,"Dalla Betta, Francesca",SO-2,29.3,Dutch Athletic Classic 2020,"Jan 18, 2020",NWI
,"Tesar, Tali",SO-2,29.53,Darren Young Classic,"Feb 15, 2020",NWI
,"Cohen, Sydney",FR-1,29.78,Dutch Athletic Classic 2020,"Jan 18, 2020",NWI
,"Cohen, Sydney",FR-1,29.8,Hilltop Invitational,"Jan 25, 2020",NWI
,"Kauffman, Mia",FR-1,29.97,Dutch Athletic Classic 2020,"Jan 18, 2020",NWI
,"Tesar, Tali",SO-2,29.98,2020 Grinnell Indoor Invitational,"Feb 1, 2020",NWI
,"Chen, Jiayi",FR-1,35.32,Liz Wuertz Indoor Invitational,"Feb 22, 2020",NWI
,"Chen, Jiayi",FR-1,36.8,Darren Young Classic,"Feb 15, 2020",NWI
