Name,GP,Pts,Pts/G
"#11 Te Huki, Kai",26,724,27.8
"#10 Garcia, Gabe",26,466,17.9
"#04 Lee, Jordan",26,308,11.8
"#01 Tarighi, Ryan",26,218,8.4
"#21 Murphy, Sean",26,191,7.3
"#45 Lundy, Nick",26,161,6.2
"#22 Bluder, David",26,125,4.8
"#02 Johnson, Tolu",26,92,3.5
"#54 Vincent, John",23,81,3.5
"#24 Gestring, Dillon",26,80,3.1
"#15 Rosen, Zach",25,67,2.7
"#00 Leone, Jackson",21,64,3.0
"#42 DeGeorge, Max",25,56,2.2
"#13 DeBruhl, Carson",26,46,1.8
"#05 Courtney, Nick",24,45,1.9
"#25 Deal, Tanner",19,39,2.1
"#35 Ryan, Jordon",25,35,1.4
"#03 Walser, Sean",26,21,0.8
"#12 Priest, Mitch",10,15,1.5
"#33 Ruhanen, Jack",26,15,0.6
"#14 Nikolic, Strahinja",1,4,4.0
