Name,GP,PF,PF/G
"#02 Johnson, Tolu",26,65,2.5
"#05 Courtney, Nick",24,62,2.6
"#24 Gestring, Dillon",26,57,2.2
"#10 Garcia, Gabe",26,51,2.0
"#54 Vincent, John",23,46,2.0
"#15 Rosen, Zach",25,34,1.4
"#04 Lee, Jordan",26,31,1.2
"#00 Leone, Jackson",21,28,1.3
"#11 Te Huki, Kai",26,27,1.0
"#01 Tarighi, Ryan",26,23,0.9
"#13 DeBruhl, Carson",26,22,0.8
"#33 Ruhanen, Jack",26,21,0.8
"#25 Deal, Tanner",19,20,1.1
"#03 Walser, Sean",26,19,0.7
"#45 Lundy, Nick",26,17,0.7
"#42 DeGeorge, Max",25,15,0.6
"#35 Ryan, Jordon",25,12,0.5
"#22 Bluder, David",26,10,0.4
"#21 Murphy, Sean",26,8,0.3
"#12 Priest, Mitch",10,3,0.3
"#14 Nikolic, Strahinja",1,1,1.0
