Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#11 Te Huki, Kai",26,223,535,0.417,8.6,20.6
"#10 Garcia, Gabe",26,164,351,0.467,6.3,13.5
"#04 Lee, Jordan",26,97,292,0.332,3.7,11.2
"#01 Tarighi, Ryan",26,71,173,0.41,2.7,6.7
"#45 Lundy, Nick",26,58,127,0.457,2.2,4.9
"#21 Murphy, Sean",26,57,146,0.39,2.2,5.6
"#22 Bluder, David",26,44,108,0.407,1.7,4.2
"#02 Johnson, Tolu",26,39,64,0.609,1.5,2.5
"#54 Vincent, John",23,36,48,0.75,1.6,2.1
"#24 Gestring, Dillon",26,28,71,0.394,1.1,2.7
"#15 Rosen, Zach",25,20,61,0.328,0.8,2.4
"#42 DeGeorge, Max",25,19,52,0.365,0.8,2.1
"#00 Leone, Jackson",21,19,66,0.288,0.9,3.1
"#13 DeBruhl, Carson",26,15,49,0.306,0.6,1.9
"#25 Deal, Tanner",19,13,40,0.325,0.7,2.1
"#05 Courtney, Nick",24,12,50,0.24,0.5,2.1
"#35 Ryan, Jordon",25,9,29,0.31,0.4,1.2
"#33 Ruhanen, Jack",26,7,12,0.583,0.3,0.5
"#03 Walser, Sean",26,6,12,0.5,0.2,0.5
"#12 Priest, Mitch",10,5,19,0.263,0.5,1.9
"#14 Nikolic, Strahinja",1,2,2,1.0,2.0,2.0
