Name,GP,STL,STL/G
"#15 Rosen, Zach",25,46,1.8
"#10 Garcia, Gabe",26,41,1.6
"#05 Courtney, Nick",24,39,1.6
"#11 Te Huki, Kai",26,35,1.3
"#02 Johnson, Tolu",26,35,1.3
"#04 Lee, Jordan",26,32,1.2
"#24 Gestring, Dillon",26,26,1.0
"#00 Leone, Jackson",21,24,1.1
"#01 Tarighi, Ryan",26,21,0.8
"#45 Lundy, Nick",26,20,0.8
"#03 Walser, Sean",26,18,0.7
"#13 DeBruhl, Carson",26,13,0.5
"#22 Bluder, David",26,12,0.5
"#42 DeGeorge, Max",25,11,0.4
"#21 Murphy, Sean",26,11,0.4
"#35 Ryan, Jordon",25,11,0.4
"#33 Ruhanen, Jack",26,9,0.3
"#25 Deal, Tanner",19,6,0.3
"#54 Vincent, John",23,4,0.2
"#12 Priest, Mitch",10,2,0.2
"#14 Nikolic, Strahinja",1,1,1.0
