#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
11.0,"Te Huki, Kai 11 Te Huki, Kai",26,20.0,489,223,535,0.417,122,348,0.351,156,192,0.813,724,27.8
10.0,"Garcia, Gabe 10 Garcia, Gabe",26,10.0,401,164,351,0.467,3,34,0.088,135,204,0.662,466,17.9
4.0,"Lee, Jordan 04 Lee, Jordan",26,12.0,417,97,292,0.332,69,202,0.342,45,56,0.804,308,11.8
1.0,"Tarighi, Ryan 01 Tarighi, Ryan",26,7.0,334,71,173,0.41,33,97,0.34,43,67,0.642,218,8.4
21.0,"Murphy, Sean 21 Murphy, Sean",26,5.0,332,57,146,0.39,52,138,0.377,25,29,0.862,191,7.3
45.0,"Lundy, Nick 45 Lundy, Nick",26,4.0,319,58,127,0.457,24,79,0.304,21,31,0.677,161,6.2
22.0,"Bluder, David 22 Bluder, David",26,6.0,230,44,108,0.407,26,73,0.356,11,16,0.688,125,4.8
14.0,"Nikolic, Strahinja 14 Nikolic, Strahinja",1,0.0,3,2,2,1.0,0,0,0.0,0,0,0.0,4,4.0
2.0,"Johnson, Tolu 02 Johnson, Tolu",26,21.0,432,39,64,0.609,0,1,0.0,14,47,0.298,92,3.5
0.0,"Leone, Jackson 00 Leone, Jackson",21,6.0,243,19,66,0.288,14,56,0.25,12,14,0.857,64,3.0
24.0,"Gestring, Dillon 24 Gestring, Dillon",26,3.0,248,28,71,0.394,11,37,0.297,13,20,0.65,80,3.1
54.0,"Vincent, John 54 Vincent, John",23,2.0,169,36,48,0.75,0,0,0.0,9,25,0.36,81,3.5
15.0,"Rosen, Zach 15 Rosen, Zach",25,15.0,354,20,61,0.328,6,34,0.176,21,42,0.5,67,2.7
25.0,"Deal, Tanner 25 Deal, Tanner",19,1.0,111,13,40,0.325,12,39,0.308,1,3,0.333,39,2.1
42.0,"DeGeorge, Max 42 DeGeorge, Max",25,0.0,142,19,52,0.365,18,49,0.367,0,1,0.0,56,2.2
5.0,"Courtney, Nick 05 Courtney, Nick",24,13.0,357,12,50,0.24,7,31,0.226,14,24,0.583,45,1.9
13.0,"DeBruhl, Carson 13 DeBruhl, Carson",26,3.0,179,15,49,0.306,11,45,0.244,5,8,0.625,46,1.8
35.0,"Ryan, Jordon 35 Ryan, Jordon",25,2.0,130,9,29,0.31,4,16,0.25,13,17,0.765,35,1.4
12.0,"Priest, Mitch 12 Priest, Mitch",10,0.0,38,5,19,0.263,5,18,0.278,0,0,0.0,15,1.5
33.0,"Ruhanen, Jack 33 Ruhanen, Jack",26,0.0,118,7,12,0.583,0,2,0.0,1,4,0.25,15,0.6
3.0,"Walser, Sean 03 Walser, Sean",26,0.0,154,6,12,0.5,1,4,0.25,8,11,0.727,21,0.8
,Total,26,,5200,944,2307,0.409,418,1303,0.321,547,811,0.674,2853,109.73
,Opponents,26,,5200,1008,1831,0.551,138,420,0.329,426,645,0.66,2580,99.23
