Name,GP,AST,AST/G
"#10 Garcia, Gabe",26,89,3.4
"#04 Lee, Jordan",26,81,3.1
"#15 Rosen, Zach",25,70,2.8
"#11 Te Huki, Kai",26,46,1.8
"#02 Johnson, Tolu",26,24,0.9
"#01 Tarighi, Ryan",26,22,0.8
"#00 Leone, Jackson",21,21,1.0
"#05 Courtney, Nick",24,20,0.8
"#45 Lundy, Nick",26,15,0.6
"#21 Murphy, Sean",26,15,0.6
"#13 DeBruhl, Carson",26,9,0.3
"#42 DeGeorge, Max",25,9,0.4
"#24 Gestring, Dillon",26,9,0.3
"#33 Ruhanen, Jack",26,6,0.2
"#03 Walser, Sean",26,6,0.2
"#12 Priest, Mitch",10,4,0.4
"#35 Ryan, Jordon",25,4,0.2
"#54 Vincent, John",23,4,0.2
"#22 Bluder, David",26,3,0.1
"#25 Deal, Tanner",19,1,0.1
