Name,GP,AST,TO,AST/TO Ratio
"#42 DeGeorge, Max",25,9,2,4.5
"#15 Rosen, Zach",25,70,20,3.5
"#04 Lee, Jordan",26,81,39,2.08
"#00 Leone, Jackson",21,21,8,2.63
"#33 Ruhanen, Jack",26,6,3,2.0
"#35 Ryan, Jordon",25,4,2,2.0
"#05 Courtney, Nick",24,20,12,1.67
"#10 Garcia, Gabe",26,89,75,1.19
"#02 Johnson, Tolu",26,24,20,1.2
"#45 Lundy, Nick",26,15,10,1.5
"#21 Murphy, Sean",26,15,14,1.07
"#12 Priest, Mitch",10,4,4,1.0
"#01 Tarighi, Ryan",26,22,19,1.16
"#03 Walser, Sean",26,6,6,1.0
