Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#02 Johnson, Tolu",26,140,5.4,51,2.0,89,3.4
#TM Team,26,117,4.5,65,2.5,52,2.0
"#10 Garcia, Gabe",26,89,3.4,47,1.8,42,1.6
"#45 Lundy, Nick",26,89,3.4,27,1.0,62,2.4
"#15 Rosen, Zach",25,87,3.5,34,1.4,53,2.1
"#04 Lee, Jordan",26,68,2.6,32,1.2,36,1.4
"#11 Te Huki, Kai",26,65,2.5,54,2.1,11,0.4
"#54 Vincent, John",23,59,2.6,23,1.0,36,1.6
"#05 Courtney, Nick",24,54,2.3,28,1.2,26,1.1
"#24 Gestring, Dillon",26,51,2.0,25,1.0,26,1.0
"#00 Leone, Jackson",21,49,2.3,23,1.1,26,1.2
"#35 Ryan, Jordon",25,42,1.7,28,1.1,14,0.6
"#01 Tarighi, Ryan",26,41,1.6,25,1.0,16,0.6
"#03 Walser, Sean",26,37,1.4,12,0.5,25,1.0
"#21 Murphy, Sean",26,32,1.2,17,0.7,15,0.6
"#13 DeBruhl, Carson",26,31,1.2,21,0.8,10,0.4
"#33 Ruhanen, Jack",26,31,1.2,10,0.4,21,0.8
"#22 Bluder, David",26,21,0.8,17,0.7,4,0.2
"#42 DeGeorge, Max",25,19,0.8,13,0.5,6,0.2
"#25 Deal, Tanner",19,5,0.3,2,0.1,3,0.2
"#12 Priest, Mitch",10,4,0.4,0,0.0,4,0.4
"#14 Nikolic, Strahinja",1,1,1.0,0,0.0,1,1.0
