Name,GP,MIN,MIN/G
"#11 Te Huki, Kai",26,489,18.8
"#02 Johnson, Tolu",26,432,16.6
"#04 Lee, Jordan",26,417,16.0
"#10 Garcia, Gabe",26,401,15.4
"#05 Courtney, Nick",24,357,14.9
"#15 Rosen, Zach",25,354,14.2
"#01 Tarighi, Ryan",26,334,12.8
"#21 Murphy, Sean",26,332,12.8
"#45 Lundy, Nick",26,319,12.3
"#24 Gestring, Dillon",26,248,9.5
"#00 Leone, Jackson",21,243,11.6
"#22 Bluder, David",26,230,8.8
"#13 DeBruhl, Carson",26,179,6.9
"#54 Vincent, John",23,169,7.3
"#03 Walser, Sean",26,154,5.9
"#42 DeGeorge, Max",25,142,5.7
"#35 Ryan, Jordon",25,130,5.2
"#33 Ruhanen, Jack",26,118,4.5
"#25 Deal, Tanner",19,111,5.8
"#12 Priest, Mitch",10,38,3.8
"#14 Nikolic, Strahinja",1,3,3.0
