Name,GP,TO,TO/G
"#11 Te Huki, Kai",26,78,3.0
"#10 Garcia, Gabe",26,75,2.9
"#04 Lee, Jordan",26,39,1.5
#TM Team,26,23,0.9
"#02 Johnson, Tolu",26,20,0.8
"#15 Rosen, Zach",25,20,0.8
"#01 Tarighi, Ryan",26,19,0.7
"#24 Gestring, Dillon",26,16,0.6
"#21 Murphy, Sean",26,14,0.5
"#22 Bluder, David",26,13,0.5
"#13 DeBruhl, Carson",26,13,0.5
"#05 Courtney, Nick",24,12,0.5
"#45 Lundy, Nick",26,10,0.4
"#54 Vincent, John",23,10,0.4
"#00 Leone, Jackson",21,8,0.4
"#03 Walser, Sean",26,6,0.2
"#25 Deal, Tanner",19,5,0.3
"#12 Priest, Mitch",10,4,0.4
"#33 Ruhanen, Jack",26,3,0.1
"#42 DeGeorge, Max",25,2,0.1
"#35 Ryan, Jordon",25,2,0.1
