Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#11 Te Huki, Kai",26,122,348,0.351,4.7,13.4
"#04 Lee, Jordan",26,69,202,0.342,2.7,7.8
"#21 Murphy, Sean",26,52,138,0.377,2.0,5.3
"#01 Tarighi, Ryan",26,33,97,0.34,1.3,3.7
"#22 Bluder, David",26,26,73,0.356,1.0,2.8
"#45 Lundy, Nick",26,24,79,0.304,0.9,3.0
"#42 DeGeorge, Max",25,18,49,0.367,0.7,2.0
"#00 Leone, Jackson",21,14,56,0.25,0.7,2.7
"#25 Deal, Tanner",19,12,39,0.308,0.6,2.1
"#13 DeBruhl, Carson",26,11,45,0.244,0.4,1.7
"#24 Gestring, Dillon",26,11,37,0.297,0.4,1.4
"#05 Courtney, Nick",24,7,31,0.226,0.3,1.3
"#15 Rosen, Zach",25,6,34,0.176,0.2,1.4
"#12 Priest, Mitch",10,5,18,0.278,0.5,1.8
"#35 Ryan, Jordon",25,4,16,0.25,0.2,0.6
"#10 Garcia, Gabe",26,3,34,0.088,0.1,1.3
"#03 Walser, Sean",26,1,4,0.25,0.0,0.2
"#02 Johnson, Tolu",26,0,1,0.0,0.0,0.0
"#33 Ruhanen, Jack",26,0,2,0.0,0.0,0.1
