#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
11.0,"Te Huki, Kai 11 Te Huki, Kai",26,18.8,0.417,0.351,0.813,2.1,0.4,2.5,1.8,1.3,0.2,27.8
10.0,"Garcia, Gabe 10 Garcia, Gabe",26,15.4,0.467,0.088,0.662,1.8,1.6,3.4,3.4,1.6,0.3,17.9
4.0,"Lee, Jordan 04 Lee, Jordan",26,16.0,0.332,0.342,0.804,1.2,1.4,2.6,3.1,1.2,0.0,11.8
1.0,"Tarighi, Ryan 01 Tarighi, Ryan",26,12.8,0.41,0.34,0.642,1.0,0.6,1.6,0.8,0.8,0.0,8.4
21.0,"Murphy, Sean 21 Murphy, Sean",26,12.8,0.39,0.377,0.862,0.7,0.6,1.2,0.6,0.4,0.0,7.3
45.0,"Lundy, Nick 45 Lundy, Nick",26,12.3,0.457,0.304,0.677,1.0,2.4,3.4,0.6,0.8,0.0,6.2
22.0,"Bluder, David 22 Bluder, David",26,8.8,0.407,0.356,0.688,0.7,0.2,0.8,0.1,0.5,0.0,4.8
14.0,"Nikolic, Strahinja 14 Nikolic, Strahinja",1,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
2.0,"Johnson, Tolu 02 Johnson, Tolu",26,16.6,0.609,0.0,0.298,2.0,3.4,5.4,0.9,1.3,1.0,3.5
0.0,"Leone, Jackson 00 Leone, Jackson",21,11.6,0.288,0.25,0.857,1.1,1.2,2.3,1.0,1.1,0.0,3.0
24.0,"Gestring, Dillon 24 Gestring, Dillon",26,9.5,0.394,0.297,0.65,1.0,1.0,2.0,0.3,1.0,0.3,3.1
54.0,"Vincent, John 54 Vincent, John",23,7.3,0.75,0.0,0.36,1.0,1.6,2.6,0.2,0.2,0.3,3.5
15.0,"Rosen, Zach 15 Rosen, Zach",25,14.2,0.328,0.176,0.5,1.4,2.1,3.5,2.8,1.8,0.0,2.7
25.0,"Deal, Tanner 25 Deal, Tanner",19,5.8,0.325,0.308,0.333,0.1,0.2,0.3,0.1,0.3,0.0,2.1
42.0,"DeGeorge, Max 42 DeGeorge, Max",25,5.7,0.365,0.367,0.0,0.5,0.2,0.8,0.4,0.4,0.0,2.2
5.0,"Courtney, Nick 05 Courtney, Nick",24,14.9,0.24,0.226,0.583,1.2,1.1,2.3,0.8,1.6,0.1,1.9
13.0,"DeBruhl, Carson 13 DeBruhl, Carson",26,6.9,0.306,0.244,0.625,0.8,0.4,1.2,0.3,0.5,0.0,1.8
35.0,"Ryan, Jordon 35 Ryan, Jordon",25,5.2,0.31,0.25,0.765,1.1,0.6,1.7,0.2,0.4,0.1,1.4
12.0,"Priest, Mitch 12 Priest, Mitch",10,3.8,0.263,0.278,0.0,0.0,0.4,0.4,0.4,0.2,0.1,1.5
33.0,"Ruhanen, Jack 33 Ruhanen, Jack",26,4.5,0.583,0.0,0.25,0.4,0.8,1.2,0.2,0.3,0.1,0.6
3.0,"Walser, Sean 03 Walser, Sean",26,5.9,0.5,0.25,0.727,0.5,1.0,1.4,0.2,0.7,0.0,0.8
,Total,26,200.0,0.409,0.321,0.674,21.3,22.2,43.5,17.6,16.0,2.5,109.73
,Opponents,26,200.0,0.551,0.329,0.66,13.5,35.9,49.5,20.7,7.7,3.6,99.23
