Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Luther,11/08/23,108-114,-6,34-97/45-70,.351/.643,17-58/2-7,.293/.286,23-38/22-35,.605-.629,37/67 -30,18/26,8/28,3/3,17/4,28/27
Barclay,11/10/23,151-102,49,51-105/37-70,.486/.529,19-54/16-32,.352/.500,30-45/12-24,.667-.500,66/36 30,19/20,17/35,1/5,21/9,21/31
Barclay,11/11/23,150-91,59,51-122/42-72,.418/.583,24-78/2-12,.308/.167,24-35/5-10,.686-.500,69/42 27,29/19,6/31,0/1,22/3,15/20
Wartburg,11/14/23,102-97,5,35-95/38-58,.368/.655,17-59/1-6,.288/.167,15-22/20-32,.682-.625,41/54 -13,19/26,11/33,1/3,19/7,27/21
Principia,11/18/23,110-102,8,41-107/46-77,.383/.597,18-63/1-4,.286/.250,10-13/9-11,.769-.818,42/43 -1,17/19,10/24,2/3,11/4,17/13
Lake Forest,11/25/23,148-123,25,51-85/44-76,.600/.579,25-51/8-25,.490/.320,21-31/27-33,.677-.818,37/41 -4,31/18,19/28,2/1,12/12,26/24
Knox,11/28/23,89-87,2,30-73/34-60,.411/.567,10-34/3-13,.294/.231,19-23/16-21,.826-.762,25/47 -22,19/22,12/28,1/8,17/5,20/19
Lawrence,12/02/23,89-58,31,27-87/22-53,.310/.415,12-43/0-6,.279/.000,23-38/14-31,.605-.452,51/54 -3,13/11,16/38,7/1,22/8,26/25
Cornell College,12/06/23,98-84,14,31-68/29-64,.456/.453,14-40/7-21,.350/.333,22-29/19-23,.759-.826,43/32 11,11/17,17/18,5/2,7/6,20/23
Alma,12/09/23,102-116,-14,29-81/41-79,.358/.519,8-39/10-27,.205/.370,36-45/24-35,.800-.686,41/56 -15,12/25,26/32,2/4,17/13,28/33
Blackburn College,12/30/23,125-91,34,46-93/42-66,.495/.636,14-43/0-1,.326/.000,19-26/7-15,.731-.467,42/35 7,17/22,15/31,2/2,20/9,14/17
Ripon,01/04/24,98-91,7,35-76/37-67,.461/.552,11-30/6-16,.367/.375,17-35/11-17,.486-.647,30/49 -19,13/19,13/33,2/4,24/3,19/27
Lawrence,01/06/24,96-104,-8,31-80/39-61,.388/.639,13-42/5-11,.310/.455,21-32/21-28,.656-.750,38/43 -5,12/33,24/31,3/7,19/7,22/23
Beloit,01/10/24,108-93,15,33-84/36-66,.393/.545,18-52/4-10,.346/.400,24-36/17-24,.667-.708,42/48 -6,13/19,17/26,3/3,14/8,23/27
Andrews,01/12/24,166-95,71,54-114/42-84,.474/.500,40-92/8-21,.435/.381,18-24/3-4,.750-.750,56/49 7,45/16,11/34,4/1,21/7,7/17
Monmouth (IL),01/17/24,91-104,-13,34-87/35-65,.391/.538,13-46/6-19,.283/.316,10-16/28-36,.625-.778,38/42 -4,15/21,14/21,3/4,16/9,25/20
Ripon,01/20/24,95-92,3,32-89/35-73,.360/.479,11-42/7-25,.262/.280,20-36/15-22,.556-.682,52/56 -4,15/17,20/34,3/5,18/8,23/32
Knox,01/23/24,111-104,7,36-75/38-69,.480/.551,13-39/3-13,.333/.231,26-34/25-38,.765-.658,38/40 -2,22/23,19/24,2/0,16/8,28/26
Illinois Col.,01/27/24,95-89,6,31-90/34-74,.344/.459,18-53/0-16,.340/.000,15-24/21-32,.625-.656,46/65 -19,17/14,18/34,1/8,16/6,26/19
Cornell College,01/31/24,91-88,3,32-80/36-68,.400/.529,12-43/8-27,.279/.296,15-27/8-16,.556-.500,41/51 -10,13/25,9/22,0/5,13/7,18/26
Lake Forest,02/03/24,102-128,-26,32-93/53-79,.344/.671,14-59/7-19,.237/.368,24-31/15-24,.774-.625,47/50 -3,16/20,13/18,4/2,7/11,21/23
Illinois Col.,02/07/24,118-101,17,37-81/39-83,.457/.470,18-44/9-28,.409/.321,26-45/14-25,.578-.560,40/65 -25,23/17,16/32,4/6,14/8,22/32
Beloit,02/14/24,97-117,-20,32-83/46-76,.386/.605,16-50/4-9,.320/.444,17-26/21-27,.654-.778,37/49 -12,15/30,19/20,0/3,10/11,19/22
Monmouth (IL),02/17/24,111-86,25,36-87/30-63,.414/.476,17-53/6-15,.321/.400,22-36/20-32,.611-.625,48/50 -2,12/13,11/29,4/2,11/6,29/27
Beloit,02/23/24,118-115,3,39-85/45-79,.459/.570,16-46/8-18,.348/.444,24-32/17-29,.750-.586,39/57 -18,15/27,11/25,4/2,14/7,26/27
Illinois Col.,02/24/24,84-108,-24,24-90/43-79,.267/.544,10-50/7-19,.200/.368,26-32/15-21,.813-.714,46/65 -19,7/20,20/27,2/9,19/13,22/25
