#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
11,"Te Huki, Kai 11 Te Huki, Kai",16,14.0,306,19.1,124,304,0.408,68,194,0.351,97,123,0.789,413,25.8,24,7,31,1.9,20,31,1.9,56,19,3,View Bio
10,"Garcia, Gabe 10 Garcia, Gabe",16,5.0,254,15.9,90,197,0.457,1,14,0.071,68,120,0.567,249,15.6,33,30,63,3.9,37,54,3.4,56,25,5,View Bio
04,"Lee, Jordan 04 Lee, Jordan",16,9.0,272,17.0,61,178,0.343,42,126,0.333,27,33,0.818,191,11.9,20,23,43,2.7,22,48,3.0,23,16,1,View Bio
01,"Tarighi, Ryan 01 Tarighi, Ryan",16,5.0,215,13.4,47,114,0.412,25,68,0.368,26,43,0.605,145,9.1,15,8,23,1.4,17,15,0.9,12,15,0,View Bio
21,"Murphy, Sean 21 Murphy, Sean",16,2.0,200,12.5,30,70,0.429,26,63,0.413,16,18,0.889,102,6.4,6,9,15,0.9,4,9,0.6,11,6,0,View Bio
45,"Lundy, Nick 45 Lundy, Nick",16,0.0,198,12.4,38,75,0.507,14,45,0.311,20,26,0.769,110,6.9,16,41,57,3.6,11,10,0.6,7,13,1,View Bio
22,"Bluder, David 22 Bluder, David",16,3.0,134,8.4,23,54,0.426,14,38,0.368,7,9,0.778,67,4.2,8,3,11,0.7,5,2,0.1,5,8,0,View Bio
14,"Nikolic, Strahinja 14 Nikolic, Strahinja",1,0.0,3,3.0,2,2,1.0,0,0,0.0,0,0,0.0,4,4.0,0,1,1,1.0,1,0,0.0,0,1,0,View Bio
02,"Johnson, Tolu 02 Johnson, Tolu",16,14.0,273,17.1,26,46,0.565,0,1,0.0,7,29,0.241,59,3.7,23,52,75,4.7,46,15,0.9,14,13,18,View Bio
54,"Vincent, John 54 Vincent, John",15,1.0,113,7.5,27,37,0.73,0,0,0.0,4,15,0.267,58,3.9,16,21,37,2.5,34,2,0.1,7,3,4,View Bio
05,"Courtney, Nick 05 Courtney, Nick",15,9.0,223,14.9,8,36,0.222,6,24,0.25,9,14,0.643,31,2.1,19,19,38,2.5,29,12,0.8,9,25,2,View Bio
15,"Rosen, Zach 15 Rosen, Zach",15,9.0,211,14.1,10,36,0.278,4,20,0.2,13,25,0.52,37,2.5,24,34,58,3.9,23,27,1.8,11,26,0,View Bio
00,"Leone, Jackson 00 Leone, Jackson",13,5.0,160,12.3,10,36,0.278,9,31,0.29,6,6,1.0,35,2.7,13,20,33,2.5,21,12,0.9,6,19,1,View Bio
24,"Gestring, Dillon 24 Gestring, Dillon",16,2.0,150,9.4,8,30,0.267,2,15,0.133,8,12,0.667,26,1.6,13,14,27,1.7,31,4,0.3,10,14,5,View Bio
13,"DeBruhl, Carson 13 DeBruhl, Carson",16,1.0,103,6.4,9,26,0.346,7,24,0.292,5,8,0.625,30,1.9,6,4,10,0.6,12,6,0.4,4,8,0,View Bio
35,"Ryan, Jordon 35 Ryan, Jordon",15,1.0,69,4.6,5,12,0.417,2,5,0.4,4,7,0.571,16,1.1,8,10,18,1.2,10,2,0.1,0,6,1,View Bio
25,"Deal, Tanner 25 Deal, Tanner",11,0.0,58,5.3,6,16,0.375,6,16,0.375,0,0,0.0,18,1.6,1,1,2,0.2,14,0,0.0,1,1,0,View Bio
42,"DeGeorge, Max 42 DeGeorge, Max",15,0.0,72,4.8,7,26,0.269,6,24,0.25,0,0,0.0,20,1.3,4,3,7,0.5,4,3,0.2,2,7,0,View Bio
12,"Priest, Mitch 12 Priest, Mitch",9,0.0,30,3.3,3,13,0.231,3,12,0.25,0,0,0.0,9,1.0,0,4,4,0.4,2,2,0.2,3,2,1,View Bio
33,"Ruhanen, Jack 33 Ruhanen, Jack",16,0.0,72,4.5,3,4,0.75,0,0,0.0,1,4,0.25,7,0.4,6,8,14,0.9,13,4,0.3,2,3,2,View Bio
TM,Team  TM Team,16,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,37,32,69,4.3,0,0,0.0,15,0,0,
03,"Walser, Sean 03 Walser, Sean",16,0.0,84,5.3,3,6,0.5,0,1,0.0,4,7,0.571,10,0.6,4,13,17,1.1,11,2,0.1,3,6,0,View Bio
,Total,16,,3200,200.0,540,1318,0.41,235,721,0.326,322,499,0.645,1637,102.31,296,357,653,40.8,367,260,16.3,257,236,44,
,Opponents,16,,3200,200.0,587,1097,0.535,83,273,0.304,292,429,0.681,1549,96.81,212,570,782,48.9,395,319,19.9,436,123,61,
