Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
Luther,11/08/23,114-108,W,45-70,0.643,2-7,0.286,22-35,0.629,18,49,67,67.0,27,26,28,3,4,114,114.0
Barclay,11/10/23,102-151,L,37-70,0.529,16-32,0.5,12-24,0.5,9,27,36,51.5,31,20,35,5,9,102,108.0
Barclay,11/11/23,91-150,L,42-72,0.583,2-12,0.167,5-10,0.5,8,34,42,48.3,20,19,31,1,3,91,102.3
Wartburg,11/14/23,97-102,L,38-58,0.655,1-6,0.167,20-32,0.625,10,44,54,49.8,21,26,33,3,7,97,101.0
Principia,11/18/23,102-110,L,46-77,0.597,1-4,0.25,9-11,0.818,8,35,43,48.4,13,19,24,3,4,102,101.2
Lake Forest,11/25/23,123-148,L,44-76,0.579,8-25,0.32,27-33,0.818,17,24,41,47.2,24,18,28,1,12,123,104.8
Knox,11/28/23,87-89,L,34-60,0.567,3-13,0.231,16-21,0.762,14,33,47,47.1,19,22,28,8,5,87,102.3
Lawrence,12/02/23,58-89,L,22-53,0.415,0-6,0.0,14-31,0.452,12,42,54,48.0,25,11,38,1,8,58,96.8
Cornell College,12/06/23,84-98,L,29-64,0.453,7-21,0.333,19-23,0.826,7,25,32,46.2,23,17,18,2,6,84,95.3
Alma,12/09/23,116-102,W,41-79,0.519,10-27,0.37,24-35,0.686,25,31,56,47.2,33,25,32,4,13,116,97.4
Blackburn College,12/30/23,91-125,L,42-66,0.636,0-1,0.0,7-15,0.467,7,28,35,46.1,17,22,31,2,9,91,96.8
Ripon,01/04/24,91-98,L,37-67,0.552,6-16,0.375,11-17,0.647,10,39,49,46.3,27,19,33,4,3,91,96.3
Lawrence,01/06/24,104-96,W,39-61,0.639,5-11,0.455,21-28,0.75,9,34,43,46.1,23,33,31,7,7,104,96.9
Beloit,01/10/24,93-108,L,36-66,0.545,4-10,0.4,17-24,0.708,13,35,48,46.2,27,19,26,3,8,93,96.6
Andrews,01/12/24,95-166,L,42-84,0.5,8-21,0.381,3-4,0.75,18,31,49,46.4,17,16,34,1,7,95,96.5
Monmouth (IL),01/17/24,104-91,W,35-65,0.538,6-19,0.316,28-36,0.778,10,32,42,46.1,20,21,21,4,9,104,97.0
Ripon,01/20/24,92-95,L,35-73,0.479,7-25,0.28,15-22,0.682,14,42,56,46.7,32,17,34,5,8,92,96.7
Knox,01/23/24,104-111,L,38-69,0.551,3-13,0.231,25-38,0.658,12,28,40,46.3,26,23,24,0,8,104,97.1
Illinois Col.,01/27/24,89-95,L,34-74,0.459,0-16,0.0,21-32,0.656,24,41,65,47.3,19,14,34,8,6,89,96.7
Cornell College,01/31/24,88-91,L,36-68,0.529,8-27,0.296,8-16,0.5,11,40,51,47.5,26,25,22,5,7,88,96.3
Lake Forest,02/03/24,128-102,W,53-79,0.671,7-19,0.368,15-24,0.625,12,38,50,47.6,23,20,18,2,11,128,97.8
Illinois Col.,02/07/24,101-118,L,39-83,0.47,9-28,0.321,14-25,0.56,21,44,65,48.4,32,17,32,6,8,101,97.9
Beloit,02/14/24,117-97,W,46-76,0.605,4-9,0.444,21-27,0.778,15,34,49,48.4,22,30,20,3,11,117,98.7
Monmouth (IL),02/17/24,86-111,L,30-63,0.476,6-15,0.4,20-32,0.625,11,39,50,48.5,27,13,29,2,6,86,98.2
Beloit,02/23/24,115-118,L,45-79,0.57,8-18,0.444,17-29,0.586,18,39,57,48.8,27,27,25,2,7,115,98.9
Illinois Col.,02/24/24,108-84,W,43-79,0.544,7-19,0.368,15-21,0.714,19,46,65,49.5,25,20,27,9,13,108,99.2
Grinnell,,-,,944-2307,0.409,418-1303,0.321,547-811,0.674,554,578,1132,43.5,572,458,392,65,417,2853,109.7
Opponents,,-,,1008-1831,0.551,138-420,0.329,426-645,0.66,352,934,1286,49.5,626,539,736,94,199,2580,99.2
