Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 31, 2012 (Friday)",6 p.m.,Away,Robert Morris College (Ill.),"Springfield, IL",,,,"W,13-0",Box ScoreRecap
"September 2, 2012 (Sunday)",4 p.m.,Home,Coe College,"Jacksonville, IL",,,,"L,0-1",Box Score
"September 4, 2012 (Tuesday)",7 p.m.,Away,Fontbonne University,"St. Louis, MO",,,,"L,0-1",Box ScoreRecap
"September 8, 2012 (Saturday)",12 p.m.,Home,Buena Vista University,"Jacksonville, IL",,,,"L,0-1",Box ScoreRecap
"September 9, 2012 (Sunday)",4 p.m.,Home,Blackburn College,"Jacksonville, IL",,,,"W,4-0",Box ScoreRecap
"September 12, 2012 (Wednesday)",3 p.m.,Home,Anderson University (IN),"Jacksonville, IL",,,,"W,3-0",Box ScoreRecap
"September 15, 2012 (Saturday)",11 a.m.,Away,Lawrence University,"Appleton, WI",,,,"L,0-3",Box ScoreRecap
"September 16, 2012 (Sunday)",11 a.m.,Away,St. Norbert College,De Pere. WI,,,,"L,1-4",Box ScoreRecap
"September 19, 2012 (Wednesday)",5 p.m.,Home,Eureka College,"Jacksonville, IL",,,,"W,8-0",Box ScoreRecap
"September 22, 2012 (Saturday)",11 a.m.,Away,Grinnell College,"Grinnell, IA",,,,"L,0-4",Box ScoreRecap
"September 25, 2012 (Tuesday)",4 p.m.,Home,Monmouth College,"Jacksonville, IL",,,,"T,0-0",Box ScoreRecap
"September 29, 2012 (Saturday)",1 p.m.,Away,Webster University,"St. Louis, MO",,,,"L,0-2",Box ScoreRecap
"October 4, 2012 (Thursday)",1 p.m.,Away,Knox College,"Galesburg, IL",,,,"W,3-0",Box ScoreRecap
"October 6, 2012 (Saturday)",11 a.m.,Home,Ripon College,"Jacksonville, IL",,,Play for the Cure/Adie's Game,"W,3-2",Box ScoreRecap
"October 14, 2012 (Sunday)",1 p.m.,Home,Cornell College,"Jacksonville, IL",,,,"T,0-0",Box ScoreRecap
"October 20, 2012 (Saturday)",11 a.m.,Home,Beloit College,"Jacksonville, IL",,,,"W,3-2",Box ScoreRecap
"October 21, 2012 (Sunday)",11 a.m.,Home,Lake Forest College,"Jacksonville, IL",,,,"L,0-3",Box ScoreRecap
"October 27, 2012 (Saturday)",11 a.m.,Away,Carroll University,"Waukesha, WI",,,,"L,0-1",Box ScoreRecap
