Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 24, 2023 (Thursday)",1 pm,Away,St. Norbert College,"De Pere, WI",,,,History
"August 29, 2023 (Tuesday)",7 pm,Away,Marian University,"Fond du Lac, WI",,,,History
"September 1, 2023 (Friday)",7 pm,Home,Concordia University (Wis.),"Appleton, WI/ The Banta Bowl",,,"L,0-6",Box ScoreRecap
"September 3, 2023 (Sunday)",10:30 am,Away,Edgewood College,"Madison, WI",,,"L,0-2",Box ScoreRecap
"September 7, 2023 (Thursday)",7 pm,Home,Lakeland University,"Appleton, WI/ The Banta Bowl",,,"T,1-1",Box ScoreRecap
"September 9, 2023 (Saturday)",Noon,Home,Hamline University,"Appleton, WI/ The Banta Bowl",,,"L,0-2",Box ScoreRecap
"September 16, 2023 (Saturday)",1 pm,Away,Viterbo University (Wis.),"La Crosse, WI",,,"L,0-4",Box ScoreRecap
"September 20, 2023 (Wednesday)",7 pm,Home,Illinois Institute of Technology,"Appleton, WI/ The Banta Bowl",,,"T,1-1",Box ScoreRecap
"September 23, 2023 (Saturday)",4 pm,Home,Monmouth College,"Appleton, WI/ The Banta Bowl",,,"T,2-2",Box ScoreRecap
"September 27, 2023 (Wednesday)",6 pm,Home,Saint Mary's University (Minn.),"Appleton, WI/ The Banta Bowl",,,"L,1-2",Box ScoreRecap
"September 30, 2023 (Saturday)",1:30 pm,Away,Cornell College,"Mount Vernon, IA",,,"L,0-3",Box ScoreRecap
"October 3, 2023 (Tuesday)",7 pm,Home,Beloit College,"Appleton, WI/ The Banta Bowl",,,"T,1-1",Box ScoreRecap
"October 7, 2023 (Saturday)",3:30 pm,Away,Lake Forest College,"Lake Forest, IL",,,"L,0-4",Box ScoreRecap
"October 14, 2023 (Saturday)",8 pm,Away,Illinois College,"Jacksonville, IL",,,"L,0-2",Box ScoreRecap
"October 18, 2023 (Wednesday)",6 pm,Home,Carroll University,"Appleton, WI/ The Banta Bowl",,,"L,1-3",Box ScoreRecap
"October 21, 2023 (Saturday)",5:30 pm,Home,Knox College,"Appleton, WI/ The Banta Bowl",,,"T,1-1",Box ScoreRecap
"October 25, 2023 (Wednesday)",7 pm,Home,Ripon College,"Appleton, WI/ The Banta Bowl",,,"T,1-1",Box ScoreRecap
"October 28, 2023 (Saturday)",1:30 pm,Away,Grinnell College,"Grinnell, IA",,,"L,0-5",Box ScoreRecap
