Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Oden, Melanie",SO-2,9.93m,"32' 7""",D3 Challenge,"Mar 25, 2023",1.7
,"Oden, Melanie",SO-2,9.73m,"31' 11.25""",2023 Kip Janvrin Open,"Apr 27, 2023",0.0
,"Oden, Melanie",SO-2,9.64m,"31' 7.5""",2023 Kip Janvrin Open,"Apr 27, 2023",0.0
,"Oden, Melanie",SO-2,9.41m,"30' 10.5""",Midwest Conference Outdoor Championships,"May 12, 2023",0.6
,"Oden, Melanie",SO-2,9.36m,"30' 8.5""",Midwest Conference Outdoor Championships,"May 12, 2023",0.6
,"Oden, Melanie",SO-2,9.30m,"30' 6.25""",Midwest Conference Outdoor Championships,"May 12, 2023",0.0
,"Vollmayr-Lee, Mira",FR-1,8.73m,"28' 7.75""",Dick Young Classic,"Apr 22, 2023",0.0
,"Vollmayr-Lee, Mira",FR-1,8.69m,"28' 6.25""",D3 Challenge,"Mar 25, 2023",1.9
,"Vollmayr-Lee, Mira",FR-1,8.43m,"27' 8""",D3 Challenge,"Mar 25, 2023",0.5
,"Vollmayr-Lee, Mira",FR-1,8.24m,"27' 0.5""",Dick Young Classic,"Apr 22, 2023",1.0
