Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Carchidi, Eva",JR-3,25.66,Midwest Conference Outdoor Championships,"May 12, 2023",-1.9
,"Carchidi, Eva",JR-3,26.0,Midwest Conference Outdoor Championships,"May 12, 2023",-2.4
,"Edassery, Sonia",JR-3,26.11,Augustana College Midwest Twilight Qualifier,"May 18, 2023",-0.2
,"Carchidi, Eva",JR-3,26.14,2023 Kip Janvrin Open,"Apr 27, 2023",-0.8
,"Edassery, Sonia",JR-3,26.14,D3 Challenge,"Mar 25, 2023",0.0
,"Edassery, Sonia",JR-3,26.19,Midwest Conference Outdoor Championships,"May 12, 2023",-1.9
,"Edassery, Sonia",JR-3,26.24,Midwest Conference Outdoor Championships,"May 12, 2023",-1.2
,"Carchidi, Eva",JR-3,26.54,Norse Invite,"Apr 15, 2023",-1.7
,"Edassery, Sonia",JR-3,26.54,2023 Kip Janvrin Open,"Apr 27, 2023",-0.8
,"Edassery, Sonia",JR-3,26.73,Norse Invite,"Apr 15, 2023",-1.7
,"Edassery, Sonia",JR-3,27.07,Dick Young Classic,"Apr 22, 2023",0.3
,"Taylor, Ava",SO-2,27.49,Monmouth College Fighting Scot Outdoor,"May 6, 2023",1.7
,"Taylor, Ava",SO-2,27.65,Midwest Conference Outdoor Championships,"May 12, 2023",-1.2
,"Taylor, Ava",SO-2,27.97,Norse Invite,"Apr 15, 2023",0.1
,"Taylor, Ava",SO-2,28.06,2023 Kip Janvrin Open,"Apr 27, 2023",0.0
,"Crowe, Maile",SO-2,28.18,Norse Invite,"Apr 15, 2023",0.1
,"Crowe, Maile",SO-2,28.21,2023 Kip Janvrin Open,"Apr 27, 2023",0.2
,"Kaczmarczyk, Crystal",SO-2,29.22,Dick Young Classic,"Apr 22, 2023",0.3
,"Ong, Caitlin",FR-1,30.44,Mustang Open,"Apr 1, 2023",1.5
,"Ong, Caitlin",FR-1,30.46,Norse Invite,"Apr 15, 2023",-0.6
,"Goodman, Jessie",FR-1,30.5,Norse Invite,"Apr 15, 2023",0.0
,"Goodman, Jessie",FR-1,30.63,Midwest Conference Outdoor Championships,"May 12, 2023",-1.2
,"Goodman, Jessie",FR-1,30.8,2023 Kip Janvrin Open,"Apr 27, 2023",0.4
,"Goodman, Jessie",FR-1,30.85,D3 Challenge,"Mar 25, 2023",0.1
,"Natalie, Alexandra",FR-1,31.84,Monmouth College Fighting Scot Outdoor,"May 6, 2023",1.6
,"Natalie, Alexandra",FR-1,32.46,2023 Kip Janvrin Open,"Apr 27, 2023",0.4
,"Natalie, Alexandra",FR-1,32.65,Dick Young Classic,"Apr 22, 2023",0.3
,"Natalie, Alexandra",FR-1,32.9,Norse Invite,"Apr 15, 2023",0.0
,"Natalie, Alexandra",FR-1,33.79,Mustang Open,"Apr 1, 2023",1.1
