0,1,2,3,4,5,6,7
Tournament,Dates,Rounds,Place,Teams,Players,Par,Score
Wartburg Spring Invite,"April 17-18, 2021",2,2,9,49,+83,643
Simpson Invitational,"April 21, 2021",1,1,6,25,+30,318
Grinnell vs. William Penn B,"April 24, 2021",1,1,2,13,+34,314
SLIAC Women's Championships,"May 1-2, 2021",2,1,10,36,+68,644
NCAA D-III Women's Golf Championship,"May 11-14, 2021",4,0,31,131,+142,1006
