0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Nina Kouchi,10,764,72,1,5,4,4,4,+5,76.4,37,2817,76.1
Danielle Oberlander,9,731,76,-,5,-,4,4,+10,81.2,47,3865,82.2
Lauren Chen,9,738,79,-,5,-,1,4,+11,82.0,9,738,82.0
Parker Perry,4,338,78,-,3,-,1,2,+13,84.5,4,338,84.5
Aubrie Torhorst,6,516,81,-,4,-,1,2,+15,86.0,15,1258,83.9
Zoe Robinson,9,781,78,-,5,-,-,3,+15,86.8,18,1551,86.2
Lexi Mueldener,9,787,80,-,5,-,1,2,+16,87.4,16,1416,88.5
FOUR-PLAYER TEAM,9,2925,314,1,5,4,12,21,+40,325.0,,,
