Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
8/30/2019,"at Dubuque, Univ. of,",0-2,0/2,0/1,8/20,2/10,2/13,0/0,0/0
9/5/2019,at Coe,0-1,0/1,0/1,7/7,5/6,1/3,0/0,0/0
9/7/2019,vs Buena Vista,7-0,7/0,5/0,38/0,21/0,7/0,0/0,0/0
9/8/2019,at Carleton,1-5,1/5,2/1,9/30,5/19,1/10,0/0,0/0
9/14/2019,at Bethany Lutheran,3-0,3/0,1/0,22/4,13/0,4/0,0/0,0/0
9/18/2019,vs Simpson,1-1,1/1,0/0,8/13,3/9,3/10,0/0,0/0
9/21/2019,at Edgewood College,1-0,1/0,1/0,6/7,4/4,1/1,0/0,0/0
9/24/2019,vs Neb. Wesleyan,0-2,0/2,0/1,7/13,4/8,3/7,0/0,0/0
9/28/2019,at Lake Forest,0-0,0/0,0/0,12/11,3/8,4/3,0/0,0/0
9/29/2019,at Lawrence University,2-0,2/0,2/0,16/3,13/3,6/3,0/0,0/0
10/5/2019,vs Beloit,5-0,5/0,1/0,19/1,14/0,8/1,1/0,0/0
10/12/2019,at Knox,0-1,0/1,0/2,5/18,2/10,3/8,0/0,0/0
10/19/2019,vs Ripon,3-2,3/2,2/1,27/9,19/5,8/1,0/0,0/0
10/20/2019,vs St. Norbert,1-1,1/1,0/1,17/14,9/8,5/3,0/1,0/0
10/23/2019,vs Cornell College,0-1,0/1,0/0,16/5,7/2,2/3,0/0,0/0
10/26/2019,at Monmouth College,1-2,1/2,1/0,7/20,4/12,4/6,0/0,0/0
11/02/2019,at Illinois Col.,3-0,3/0,3/0,47/3,24/2,11/0,0/1,0/0
Totals,,,28/18,18/8,271/178,152/106,73/72,1/2,0/0
