#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
30.0,"Arneson, Elinor 30Arneson, Elinor",2,1,135:00,1,0.67,5,0.833,0.0,1.0,0.0,1/0,7,View Bio
1.0,"Hunt, Elizabeth 1Hunt, Elizabeth",16,16,1345:00,17,1.14,84,0.832,7.0,6.0,3.0,4/2,171,View Bio
0.0,"Malicky, Hannah 0Malicky, Hannah",2,0,90:00,0,0.0,0,0.0,0.0,0.0,0.0,0/2,1,View Bio
,Total,17,-,1570:00,18,1.03,89,0.832,7.0,7.0,3.0,7,179,
,Opponents,17,-,1570:00,28,1.61,123,0.815,,,,5,270,
