#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
4,"Radakovich, Alyssa 4Radakovich, Alyssa",9,9,507,4,1,9,19,0.211,10,0.526,0-0,1,0-0,View Bio
22,"Kayim-yanko, Esme 22Kayim-yanko, Esme",7,6,343,2,1,5,18,0.111,7,0.389,0-0,0,0-0,
21,"Carr, Cally 21Carr, Cally",9,8,781,1,2,4,17,0.059,10,0.588,0-0,0,0-0,View Bio
5,"Kaspar, Celeste 5Kaspar, Celeste",9,9,850,2,0,4,4,0.5,3,0.75,0-0,1,0-0,View Bio
7,"Alvarez, Valencia 7Alvarez, Valencia",9,9,836,1,1,3,24,0.042,15,0.625,0-0,0,0-1,View Bio
24,"Edwards, Lauren 24Edwards, Lauren",9,8,722,1,1,3,12,0.083,9,0.75,0-0,0,0-0,View Bio
8,"Berleman-Paul, Quinn 8Berleman-Paul, Quinn",8,1,236,1,0,2,13,0.077,9,0.692,0-0,1,0-0,View Bio
10,"Moosman, Crys 10Moosman, Crys",9,0,240,1,0,2,4,0.25,3,0.75,0-0,0,0-0,View Bio
14,"Sheehan-Klenk, Julia 14Sheehan-Klenk, Julia",9,1,187,1,0,2,2,0.5,1,0.5,0-0,1,0-0,View Bio
2,"Bambi, Simo 2Bambi, Simo",9,9,836,0,1,1,23,0.0,13,0.565,0-0,0,0-0,View Bio
18,"Engelhardt, Anna 18Engelhardt, Anna",9,6,434,0,1,1,2,0.0,2,1.0,0-0,0,0-0,View Bio
19,"Schwiebert, Issy 19Schwiebert, Issy",8,7,441,0,1,1,0,0.0,0,0.0,0-0,0,0-0,View Bio
30,"Arneson, Elinor 30Arneson, Elinor",1,0,45,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
23,"Chopra, Antarah 23Chopra, Antarah",7,1,253,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
3,"Dellinger, Madeleine 3Dellinger, Madeleine",4,0,131,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
11,"Ellingsberg, Lauren 11Ellingsberg, Lauren",4,0,55,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
12,"Hennager, Ella 12Hennager, Ella",1,0,10,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
1,"Hunt, Elizabeth 1Hunt, Elizabeth",9,9,760,0,0,0,0,0.0,0,0.0,1-0,0,0-0,View Bio
0,"Malicky, Hannah 0Malicky, Hannah",1,0,45,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
26,"Neal, Jaden 26Neal, Jaden",6,2,215,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
17,"Nowak, Hope 17Nowak, Hope",9,9,798,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
15,"Paladino, Jill 15Paladino, Jill",1,0,7,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
15,"Paladino, Jill 15Paladino, Jill",2,0,40,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
6,"Reid, Samantha 6Reid, Samantha",3,0,37,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
27,"Remash, Halle 27Remash, Halle",9,5,374,0,0,0,11,0.0,5,0.455,0-0,0,0-0,View Bio
25,"Remash, Marli 25Remash, Marli",1,0,0,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
9,"Reynolds, Haley 9Reynolds, Haley",5,0,162,0,0,0,12,0.0,6,0.5,0-0,0,0-0,View Bio
13,"Tanona, Maeve 13Tanona, Maeve",1,0,8,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
TM,Team TMTeam,1,0,0,1,0,2,0,0.0,1,0.0,0-0,0,0-0,
,Total,9,-,9353,15,9,39,166,0.09,95,0.572,1-0,4,0-1,
,Opponent,9,-,9335,7,4,18,84,0.083,50,0.595,2-0,3,1-1,
