#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
30.0,"Arneson, Elinor 30Arneson, Elinor",1,0,45:00,0,0.0,0,0.0,0.0,0.0,0.0,1/0,0,View Bio
1.0,"Hunt, Elizabeth 1Hunt, Elizabeth",9,9,760:00,7,0.83,44,0.863,4.0,3.0,2.0,2/1,83,View Bio
0.0,"Malicky, Hannah 0Malicky, Hannah",1,0,45:00,0,0.0,0,0.0,0.0,0.0,0.0,0/1,1,View Bio
,Total,9,-,850:00,7,0.74,44,0.863,4.0,3.0,2.0,4,84,
,Opponents,9,-,850:00,15,1.59,79,0.84,,,,2,165,
