Statistic,Grinnell,Opponents OPP
Shots,Shots,Shots
Goals G,28,18
Goals Per Game G/AVG,1.65,1.06
Shots SH,271,178
Shots Per Game SH/AVG,15.9,10.5
Shots Percentage SH%,0.103,0.101
Shots On Goal SOG,152-271,106-178
Shots On Goal Percentage SOG%,0.561,0.596
Penalties,Penalties,Penalties
Yellow Cards YC,1,2
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,18,8
Saves S,88,124
Fouls F,56,69
Corner Kicks CK,73,72
Penalty Kicks: Goals-Attempts PG-PA,0-1,2-2
