0,1,2
POINTS,2,Simpson (9/18/2019) St. Norbert (10/20/2019)
GOALS,1,Carleton (9/8/2019) Simpson (9/18/2019) Edgewood College (9/21/2019) St. Norbert (10/20/2019) Monmouth College (10/26/2019)
ASSISTS,1,Bethany Lutheran (9/14/2019) Edgewood College (9/21/2019) Beloit (10/5/2019) Monmouth College (10/26/2019)
SHOTS,5,Edgewood College (9/21/2019) Knox (10/12/2019)
SHOTS ON GOAL,2,"Dubuque, Univ. of, (8/30/2019) Simpson (9/18/2019) Lake Forest (9/28/2019) Knox (10/12/2019)"
SAVES,2,Cornell College (10/23/2019) Illinois Col. (11/02/2019)
FOULS,1,Carleton (9/8/2019)
CORNER KICKS,1,"Dubuque, Univ. of, (8/30/2019) Coe (9/5/2019) Carleton (9/8/2019) Edgewood College (9/21/2019) Cornell College (10/23/2019)"
