Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
8/30/2019,"at Dubuque, Univ. of,",L,0-2,(0-1),,62,
9/5/2019,at Coe,L,0-1,"(0-2-0, 0-0-0)",0-0-0,73,
9/7/2019,vs Buena Vista,W,7-0,(1-2),,102,"Alvarez, Valencia (1) (Moosman, Crys)  Radakovich, Alyssa (1) (Alvarez, Valencia)  Kayim-Yanko, Esme (1) Sheehan-Klenk, Julia (1) Dellinger, Madeleine (1) (Sheehan-Klenk, Julia)  Reid, Samantha (1) (Moosman, Crys)  Reid, Samantha (2) (Tanona, Maeve)"
9/8/2019,at Carleton,L,1-5,"(1-3-0, 0-0-0)",0-0-0,72,"Moosman, Crys (1) (Reid, Samantha , Berleman-Paul, Quinn)"
9/14/2019,at Bethany Lutheran,W,3-0,(2-3),,85,Esme Kayim-Yanko (0) Esme Kayim-Yanko (0) Valencia Alvarez (0) (Crys Moosman)
9/18/2019,vs Simpson,T,1-1,"(2-3-1, 0-0-0)",0-0-0,74,"Kayim-Yanko, Esme (4)"
9/21/2019,at Edgewood College,W,1-0,"(3-3-1, 0-0-0)",0-0-0,91,"Radakovich, Alyssa (2) (Engelhardt, Anna)"
9/24/2019,vs Neb. Wesleyan,L,0-2,"(3-4-1, 0-0-0)",0-0-0,54,
9/28/2019,at Lake Forest,T,0-0,(2-5-2),,138,
9/29/2019,at Lawrence University,W,2-0,"(4-4-2, 1-0-1 MWC)",1-0-1 MWC,122,Julia Sheehan-Klenk (0) (Issy Schwiebert)  Alyssa Radakovich (0) (Valencia Alvarez)
10/5/2019,vs Beloit,W,5-0,"(5-4-2, 2-0-1)",2-0-1,91,"Radakovich, Alyssa (4) Kayim-Yanko, Esme (5) (Radakovich, Alyssa)  Alvarez, Valencia (3) TEAM (0) Moosman, Crys (2)"
10/12/2019,at Knox,L,0-1,"(5-5-2, 2-1-1)",2-1-1,102,
10/19/2019,vs Ripon,W,3-2,"(6-5-2, 3-1-1)",3-1-1,103,"Radakovich, Alyssa (5) (Engelhardt, Anna)  Kayim-Yanko, Esme (6) Berleman-Paul, Quinn (1) (Kayim-Yanko, Esme)"
10/20/2019,vs St. Norbert,T,1-1,"(6-5-3, 3-1-2)",3-1-2,161,"Carr, Cally (1)"
10/23/2019,vs Cornell College,L,0-1,"(6-6-3, 3-2-2)",3-2-2,77,
10/26/2019,at Monmouth College,L,1-2,"(6-7-3, 3-3-2)",3-3-2,70,Celeste Kaspar (0) (Cally Carr)
11/02/2019,at Illinois Col.,W,3-0,"(7-7-3, 4-3-2)",4-3-2,0,Celeste Kaspar (1) (Cally Carr)  Lauren Edwards (1) (Simo Bambi)  Alyssa Radakovich (1) (Lauren Edwards)
