Statistic,High,Opponent
POINTS,19,Buena Vista (9/7/2019)
GOALS,7,Buena Vista (9/7/2019)
ASSISTS,5,Buena Vista (9/7/2019)
SHOTS,47,Illinois Col. (11/02/2019)
SHOTS ON GOAL,24,Illinois Col. (11/02/2019)
SAVES,14,Carleton (9/8/2019)
FOULS,8,"Dubuque, Univ. of, (8/30/2019) St. Norbert (10/20/2019)"
CORNER KICKS,11,Illinois Col. (11/02/2019)
