Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/30/2019,"at Dubuque, Univ. of,",0-2,0,0,0,8,0.0,2,0.25,0-0,0,0-0,990
9/5/2019,at Coe,0-1,0,0,0,7,0.0,5,0.714,0-0,0,0-0,997
9/7/2019,vs Buena Vista,7-0,7,5,19,38,0.184,21,0.553,0-0,1,0-0,990
9/8/2019,at Carleton,1-5,1,2,4,9,0.111,5,0.556,0-0,0,0-0,989
9/14/2019,at Bethany Lutheran,3-0,3,1,7,22,0.136,13,0.591,0-0,1,0-0,1016
9/18/2019,vs Simpson,1-1,1,0,2,8,0.125,3,0.375,0-0,0,0-0,990
9/21/2019,at Edgewood College,1-0,1,1,3,6,0.167,4,0.667,0-0,1,0-0,990
9/24/2019,vs Neb. Wesleyan,0-2,0,0,0,7,0.0,4,0.571,0-0,0,0-0,992
9/28/2019,at Lake Forest,0-0,0,0,0,12,0.0,3,0.25,0-0,0,0-0,1225
9/29/2019,at Lawrence University,2-0,2,2,6,16,0.125,13,0.813,0-0,1,0-1,996
10/5/2019,vs Beloit,5-0,5,1,11,19,0.263,14,0.737,1-0,1,0-0,990
10/12/2019,at Knox,0-1,0,0,0,5,0.0,2,0.4,0-0,0,0-0,990
10/19/2019,vs Ripon,3-2,3,2,8,27,0.111,19,0.704,0-0,1,0-0,991
10/20/2019,vs St. Norbert,1-1,1,0,2,17,0.059,9,0.529,0-0,0,0-0,1211
10/23/2019,vs Cornell College,0-1,0,0,0,16,0.0,7,0.438,0-0,0,0-0,990
10/26/2019,at Monmouth College,1-2,1,1,3,7,0.143,4,0.571,0-0,0,0-0,960
11/02/2019,at Illinois Col.,3-0,3,3,9,47,0.064,24,0.511,0-0,1,0-0,1000
Total,,28-18,28,18,74,271,0.103,152,0.561,1-0,7,0-1,17307
Opponent,,-,18,8,44,178,0.101,106,0.596,2-0,7,-,17158
