Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/30/2019,"Dubuque, Univ. of,",2-0,2,1,5,20,0.1,10,0.5,0-0,1,0-0,990
9/5/2019,Coe,1-0,1,1,3,7,0.143,6,0.857,0-0,1,0-0,990
9/7/2019,Buena Vista,0-7,0,0,0,0,0.0,0,0.0,0-0,0,0-0,900
9/8/2019,Carleton,5-1,5,1,11,30,0.167,19,0.633,0-0,1,0-0,990
9/14/2019,Bethany Lutheran,0-3,0,0,0,4,0.0,0,0.0,0-0,0,0-0,984
9/18/2019,Simpson,1-1,1,0,2,13,0.077,9,0.692,0-0,0,0-0,991
9/21/2019,Edgewood College,0-1,0,0,0,7,0.0,4,0.571,0-0,0,0-0,990
9/24/2019,Neb. Wesleyan,2-0,2,1,5,13,0.154,8,0.615,0-0,1,1-1,988
9/28/2019,Lake Forest,0-0,0,0,0,11,0.0,8,0.727,0-0,0,0-0,1211
9/29/2019,Lawrence University,0-2,0,0,0,3,0.0,3,1.0,0-0,0,0-0,975
10/5/2019,Beloit,0-5,0,0,0,1,0.0,0,0.0,0-0,0,0-0,990
10/12/2019,Knox,1-0,1,2,4,18,0.056,10,0.556,0-0,1,0-0,991
10/19/2019,Ripon,2-3,2,1,5,9,0.222,5,0.556,0-0,0,0-0,990
10/20/2019,St. Norbert,1-1,1,1,3,14,0.071,8,0.571,1-0,0,0-0,1211
10/23/2019,Cornell College,1-0,1,0,2,5,0.2,2,0.4,0-0,1,0-0,991
10/26/2019,Monmouth College,2-1,2,0,4,20,0.1,12,0.6,0-0,1,1-1,978
11/02/2019,Illinois Col.,0-3,0,0,0,3,0.0,2,0.667,1-0,0,0-0,998
Total,,18-28,18,8,44,178,0.101,106,0.596,2-0,7,2-2,17158
Grinnell,,-,28,18,74,271,0.103,152,0.561,1-0,7,-,17307
