Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Burnell, Sarah",,2:18.64,UNI Dome Open,"Feb 18, 2011"
,"Burnell, Sarah",,2:19.54 h,MidWest Conference Championship,"Feb 25, 2011"
,"Burnell, Sarah",,2:20.27,Hilltop Invitational,"Feb 5, 2011"
,"Russell, Leah",SR-4,2:30.29,Darren Young Classic,"Feb 11, 2011"
,"Rudy, Meg",,2:30.49,Hilltop Invitational,"Feb 5, 2011"
,"Russell, Leah",SR-4,2:30.75,UNI Dome Open,"Feb 18, 2011"
,"Rudy, Meg",,2:31.48,Darren Young Classic,"Feb 11, 2011"
,"Rudy, Meg",,2:31.60,UNI Dome Open,"Feb 18, 2011"
,"Gartner, Elana",,2:32.29,MidWest Conference Championship,"Feb 25, 2011"
,"Miller, Isabelle",,2:32.59,Darren Young Pentathlons,"Feb 11, 2011"
,"Gartner, Elana",,2:37.31,Hilltop Invitational,"Feb 5, 2011"
,"Rouse, Stephanie",,2:38.40,Hilltop Invitational,"Feb 5, 2011"
,"Bates, Samantha",,2:38.53,Hilltop Invitational,"Feb 5, 2011"
,"Bates, Samantha",,2:39.49,Dubuque Spartan Open,"Feb 19, 2011"
,"Bates, Samantha",,2:40.56,Darren Young Classic,"Feb 11, 2011"
,"Rouse, Stephanie",,2:40.75,Darren Young Classic,"Feb 11, 2011"
,"Fenster, Katie",,2:47.94,Hilltop Invitational,"Feb 5, 2011"
