0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2010,13,1183,288,175,85,85,7,-,-,-,91.0
2011,10,871,251,160,93,79,5,-,1,1,87.1
2012,6,553,-,175,-,87,4,-,1,1,92.2
Totals,29,2607,251,160,85,79,16,-,2,2,89.9
