0,1,2,3,4
"Best Scoring Average, Career (Min. 10 rounds)","Best Scoring Average, Career (Min. 10 rounds)","Best Scoring Average, Career (Min. 10 rounds)","Best Scoring Average, Career (Min. 10 rounds)","Best Scoring Average, Career (Min. 10 rounds)"
Average,Player,Years,Rounds,Strokes
85.03,Mallory Messin,2010-12,29,2466
88.05,Alex Plemmons,2011-12,20,1761
89.24,Stephanie Spahr,2010-12,34,3034
89.27,Kayleigh Kresse,2011-12,15,1339
89.90,Elizabeth Burnett,2010-12,29,2607
90.19,Hailey Speck,2011-12,16,1443
90.33,Natalie Klee,2010-12,30,2710
97.00,Elaine Teo,2010-11,17,1649
