0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Kayleigh Kresse,13,1158,79,-,6,-,-,2,+17,89.1,15,1339,89.3
Alex Plemmons,14,1266,79,-,7,-,-,2,+18,90.4,20,1761,88.1
Stephanie Spahr,14,1291,86,-,7,-,1,2,+20,92.2,34,3034,89.2
Hailey Speck,14,1301,86,-,7,-,-,1,+21,92.9,16,1443,90.2
Emily Adam,9,1189,105,-,5,-,-,-,+60,132.1,-,-,-
FOUR-PLAYER TEAM,14,5121,340,-,7,-,1,7,+77,365.8,,,
