Statistic,Grinnell,Opponents OPP
Shots,Shots,Shots
Goals G,33,12
Goals Per Game G/AVG,1.74,0.63
Shots SH,311,185
Shots Per Game SH/AVG,16.4,9.7
Shots Percentage SH%,0.106,0.065
Shots On Goal SOG,156-311,100-185
Shots On Goal Percentage SOG%,0.502,0.541
Penalties,Penalties,Penalties
Yellow Cards YC,3,2
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,16,7
Saves S,88,123
Fouls F,97,112
Corner Kicks CK,96,52
Penalty Kicks: Goals-Attempts PG-PA,0-0,0-0
