#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
0.0,"Dixon, Peyton 0Dixon, Peyton",8,8,720:00,3,0.38,21,0.875,5.0,0.0,3.0,5,40,View Bio
,Total,8,-,720:00,3,0.38,21,0.875,5.0,0.0,3.0,5,40,
,Opponents,8,-,720:00,21,2.63,66,0.759,,,,0,189,
