Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
09/01/2023,Dubuque,0-2,0,0,0,9,0.0,3,0.333,1-0,0,0-0,990
9/2/2023,Coe,0-1,0,0,0,7,0.0,1,0.143,0-0,0,0-0,990
09/09/2023,Carleton,2-0,2,0,4,30,0.067,15,0.5,0-0,1,0-0,990
09/10/2023,Luther,0-0,0,0,0,10,0.0,5,0.5,0-0,0,0-0,990
09/14/2023,Simpson,2-0,2,2,6,29,0.069,19,0.655,1-0,1,0-0,990
09/20/2023,Central (IA),0-0,0,0,0,14,0.0,6,0.429,0-0,0,0-0,990
09/23/2023,Lake Forest,1-1,1,0,2,8,0.125,5,0.625,0-0,0,0-0,990
09/26/2023,Knox,0-5,0,0,0,1,0.0,1,1.0,0-0,0,0-0,990
09/30/2023,Ripon,0-3,0,0,0,2,0.0,2,1.0,0-0,0,0-0,997
10/07/2023,Illinois Col.,0-4,0,0,0,3,0.0,2,0.667,0-0,0,0-0,990
10/08/2023,Saint Mary's (MN),1-0,1,1,3,12,0.083,7,0.583,0-0,1,0-0,990
10/14/2023,Augustana (IL),0-1,0,0,0,7,0.0,5,0.714,0-0,0,0-0,990
10/15/2023,Buena Vista,0-7,0,0,0,2,0.0,0,0.0,0-0,0,0-0,990
10/18/2023,Cornell College,0-2,0,0,0,1,0.0,0,0.0,0-0,0,0-0,990
10/21/2023,Beloit,1-1,1,0,2,4,0.25,3,0.75,0-0,0,0-0,990
10/24/2023,Monmouth (IL),0-4,0,0,0,5,0.0,3,0.6,0-0,0,0-0,990
10/28/2023,Lawrence,1-1,1,1,3,16,0.063,9,0.563,0-0,0,0-0,990
11/03/2023,Lawrence,0-1,0,0,0,16,0.0,8,0.5,0-0,0,0-0,990
11/04/2023,Lake Forest,4-0,4,3,11,9,0.444,6,0.667,0-0,1,0-0,990
Total,,12-33,12,7,31,185,0.065,100,0.541,2-0,4,0-0,18817
Grinnell,,-,33,16,82,311,0.106,156,0.502,3-0,10,-,18810
