Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
09/01/2023,at Dubuque,W,2-0,"(1-0-0, 0-0-0)",0-0-0,95,Keiko Smith (2) (Tali Berk)  Keiko Smith (2) (Amelia Duenas)
9/2/2023,at Coe,W,1-0,"(2-0-0, 0-0-0)",0-0-0,78,"Berk, Tali (1)"
09/09/2023,at Carleton,L,0-2,"(2-1-0, 0-0-0)",0-0-0,137,
09/10/2023,at Luther,T,0-0,"(2-1-1, 0-0-0)",0-0-0,64,
09/14/2023,vs Simpson,L,0-2,"(2-2-1, 0-0-0)",0-0-0,40,
09/20/2023,vs Central (IA),T,0-0,"(2-2-2, 0-0-0)",0-0-0,31,
09/23/2023,at Lake Forest,T,1-1,"(2-2-3, 0-0-1)",0-0-1,217,0 (0)
09/26/2023,at Knox,W,5-0,"(3-2-3, 1-0-1)",1-0-1,55,Jane March (2) (Tali Berk)  Reese Komsthoeft (1) Katie Carson (1) (Gia Sundaram)  Jane March (2) Rama Joshi (1) (Beya VanRheenen)
09/30/2023,vs Ripon,W,3-0,"(4-2-3, 2-0-1)",2-0-1,50,Giada Bambi (1) Ramona Delborne (1) Jane March (3) (Tali Berk)
10/07/2023,vs Illinois Col.,W,4-0,"(5-2-3, 3-0-1)",3-0-1,157,Jane March (4) Tali Berk (3) (Maddie Beltramo)  Tali Berk (3) Ramona Delborne (2) (Kate Nakamura)
10/08/2023,vs Saint Mary's (MN),L,0-1,"(5-3-3, 3-0-1)",3-0-1,72,
10/14/2023,vs Augustana (IL),W,1-0,"(6-3-3, 3-0-1)",3-0-1,50,Allison Wehrman (1) (Ramona Delborne)
10/15/2023,vs Buena Vista,W,7-0,"(6-3-3, 3-0-1)",3-0-1,20,0 (0) Ramona Delborne (3) Katie Carson (2) Carlie Duus (2) Carlie Duus (2) (Jane March)  Jane March (5) Tali Berk (4)
10/18/2023,at Cornell College,W,2-0,"(8-3-3, 4-0-1)",4-0-1,50,Jane March (6) (Rama Joshi)  Giada Bambi (2)
10/21/2023,at Beloit,T,1-1,"(8-3-4, 4-0-2)",4-0-2,50,Giada Bambi (3) (Katie Carson)
10/24/2023,vs Monmouth (IL),W,4-0,"(9-3-4, 5-0-2)",5-0-2,30,Kate Nakamura (2) Kate Nakamura (2) (Tali Berk)  Amelia Duenas (1) (Kate Nakamura)  Ramona Delborne (4) (Carlie Duus)
10/28/2023,vs Lawrence,T,1-1,"(9-3-5, 5-0-3)",5-0-3,72,Tali Berk (5)
11/03/2023,vs Lawrence,W,1-0,"(10-3-5, 5-0-3)",5-0-3,82,Rama Joshi (2) (Tali Berk)
11/04/2023,at Lake Forest,L,0-4,"(10-4-5, 5-0-3)",5-0-3,289,
