#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
20,"March, Jane 20March, Jane",8,8,581,5,0,10,23,0.217,13,0.565,0-0,3,0-0,View Bio
25,"Berk, Tali 25Berk, Tali",8,8,415,3,3,9,19,0.158,12,0.632,0-0,0,0-0,View Bio
24,"Bambi, Giada 24Bambi, Giada",8,8,689,3,0,6,16,0.188,10,0.625,0-0,1,0-0,View Bio
22,"Delborne, Ramona 22Delborne, Ramona",8,6,363,3,0,6,23,0.13,13,0.565,0-0,0,0-0,View Bio
11,"Nakamura, Kate 11Nakamura, Kate",8,0,217,2,2,6,9,0.222,4,0.444,0-0,1,0-0,View Bio
18,"Carson, Katie 18Carson, Katie",8,1,293,1,1,3,17,0.059,9,0.529,0-0,0,0-0,View Bio
19,"Joshi, Rama 19Joshi, Rama",8,2,287,1,1,3,16,0.063,7,0.438,0-0,0,0-0,View Bio
26,"Dueñas, Amelia 26Dueñas, Amelia",8,7,351,1,0,2,9,0.111,3,0.333,0-0,0,0-0,View Bio
21,"Komsthoeft, Reese 21Komsthoeft, Reese",8,8,526,1,0,2,11,0.091,4,0.364,0-0,0,0-0,View Bio
5,"Beltramo, Maddie 5Beltramo, Maddie",6,6,444,0,1,1,1,0.0,0,0.0,0-0,0,0-0,View Bio
10,"Duus, Carlie 10Duus, Carlie",4,0,38,0,1,1,0,0.0,0,0.0,0-0,0,0-0,View Bio
13,"Sundaram, Gia 13Sundaram, Gia",6,0,97,0,1,1,4,0.0,0,0.0,0-0,0,0-0,View Bio
8,"VanRheenen, Beya 8VanRheenen, Beya",8,0,403,0,1,1,9,0.0,3,0.333,1-0,0,0-0,View Bio
0,"Dixon, Peyton 0Dixon, Peyton",8,8,720,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
6,"Hunt, Ella 6Hunt, Ella",7,2,366,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
16,"Leahy, Tessa 16Leahy, Tessa",8,8,651,0,0,0,5,0.0,1,0.2,0-0,0,0-0,View Bio
9,"Marlin, Julia 9Marlin, Julia",4,0,34,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
27,"Nielsen, Elsa 27Nielsen, Elsa",3,0,38,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
23,"Smith, Meilynn 23Smith, Meilynn",8,8,345,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
17,"Thomas, Tori 17Thomas, Tori",3,0,40,0,0,0,3,0.0,2,0.667,0-0,0,0-0,View Bio
3,"Travis, Sarah 3Travis, Sarah",8,8,720,0,0,0,5,0.0,1,0.2,0-0,0,0-0,View Bio
2,"Wehrman, Allison 2Wehrman, Allison",8,0,302,0,0,0,12,0.0,6,0.5,0-0,0,0-0,View Bio
TM,Team TMTeam,1,0,0,1,0,2,0,0.0,0,0.0,0-0,0,0-0,
,Total,8,-,7920,21,11,53,188,0.112,90,0.479,3-0,5,0-0,
,Opponent,8,-,7927,3,1,7,40,0.075,25,0.625,2-0,0,0-0,
