0,1,2
POINTS,15,Buena Vista (10/15/2023)
GOALS,7,Buena Vista (10/15/2023)
ASSISTS,3,Knox (09/26/2023) Monmouth (IL) (10/24/2023)
SHOTS,39,Buena Vista (10/15/2023) Monmouth (IL) (10/24/2023)
SHOTS ON GOAL,17,Knox (09/26/2023) Ripon (09/30/2023) Buena Vista (10/15/2023)
SAVES,15,Simpson (09/14/2023)
FOULS,9,Lake Forest (09/23/2023) Buena Vista (10/15/2023) Lawrence (11/03/2023)
CORNER KICKS,15,Ripon (09/30/2023)
