Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
09/01/2023,Dubuque,0-2,90:00,2,2.0,5,0.714,0,1,0,0,10
9/2/2023,Coe,0-1,90:00,1,1.5,5,0.833,0,1,0,0,12
09/09/2023,Carleton,2-0,90:00,0,1.0,1,1.0,1,0,0,1,2
09/10/2023,Luther,0-0,90:00,0,0.75,4,1.0,0,0,1,1,6
09/14/2023,Simpson,2-0,90:00,0,0.6,6,1.0,1,0,0,1,9
09/20/2023,Central (IA),0-0,90:00,0,0.5,5,1.0,0,0,1,1,9
09/23/2023,Lake Forest,1-1,90:00,1,0.57,2,0.667,0,0,1,0,6
09/26/2023,Knox,0-5,90:00,5,1.13,12,0.706,0,1,0,0,24
09/30/2023,Ripon,0-3,90:00,3,1.33,13,0.813,0,1,0,0,25
10/07/2023,Illinois Col.,0-4,90:00,4,1.6,6,0.6,0,1,0,0,32
10/08/2023,Saint Mary's (MN),1-0,90:00,0,1.45,7,1.0,1,0,0,1,13
10/14/2023,Augustana (IL),0-1,90:00,1,1.42,3,0.75,0,1,0,0,11
10/15/2023,Buena Vista,0-7,90:00,7,1.85,11,0.611,0,1,0,0,40
10/18/2023,Cornell College,0-2,90:00,2,1.86,13,0.867,0,1,0,0,38
10/21/2023,Beloit,1-1,90:00,1,1.8,4,0.8,0,0,1,0,11
10/24/2023,Monmouth (IL),0-4,90:00,4,1.94,12,0.75,0,1,0,0,39
10/28/2023,Lawrence,1-1,90:00,1,1.88,4,0.8,0,0,1,0,14
11/03/2023,Lawrence,0-1,90:00,1,1.83,2,0.667,0,1,0,0,5
11/04/2023,Lake Forest,4-0,90:00,0,1.74,3,1.0,1,0,0,1,7
Totals,,-,1710,33,1.74,118,0.781,4,10,5,6,313
Grinnell,,-,1710:00,12,0.63,83,0.874,10,4,5,12,185
