#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
0.0,"Dixon, Peyton 0Dixon, Peyton",19,19,1710:00,12,0.63,83,0.874,10.0,4.0,5.0,12,185,View Bio
,Total,19,-,1710:00,12,0.63,83,0.874,10.0,4.0,5.0,12,185,
,Opponents,19,-,1710:00,33,1.74,118,0.781,,,,6,313,
