Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
09/01/2023,at Dubuque,2-0,2/0,2/0,10/9,7/3,2/5,1/1,0/0
9/2/2023,at Coe,1-0,1/0,0/0,12/7,6/1,4/3,0/0,0/0
09/09/2023,at Carleton,0-2,0/2,0/0,2/30,1/15,2/5,0/0,0/0
09/10/2023,at Luther,0-0,0/0,0/0,6/10,4/5,5/4,0/0,0/0
09/14/2023,vs Simpson,0-2,0/2,0/2,9/29,6/19,3/3,0/1,0/0
09/20/2023,vs Central (IA),0-0,0/0,0/0,9/14,5/6,2/4,0/0,0/0
09/23/2023,at Lake Forest,1-1,1/1,0/0,5/8,3/5,6/4,0/0,0/0
09/26/2023,at Knox,5-0,5/0,3/0,24/1,17/1,6/0,0/0,0/0
09/30/2023,vs Ripon,3-0,3/0,1/0,25/2,17/2,15/0,0/0,0/0
10/07/2023,vs Illinois Col.,4-0,4/0,2/0,32/3,10/2,8/0,0/0,0/0
10/08/2023,vs Saint Mary's (MN),0-1,0/1,0/1,13/12,7/7,7/5,0/0,0/0
10/14/2023,vs Augustana (IL),1-0,1/0,1/0,11/7,5/5,7/2,0/0,0/0
10/15/2023,vs Buena Vista,7-0,7/0,1/0,39/2,17/0,8/1,1/0,0/0
10/18/2023,at Cornell College,2-0,2/0,1/0,38/1,15/0,5/0,0/0,0/0
10/21/2023,at Beloit,1-1,1/1,1/0,11/4,6/3,2/3,0/0,0/0
10/24/2023,vs Monmouth (IL),4-0,4/0,3/0,39/5,16/3,5/1,1/0,0/0
10/28/2023,vs Lawrence,1-1,1/1,0/1,14/16,6/9,3/5,0/0,0/0
11/03/2023,vs Lawrence,1-0,1/0,1/0,5/16,3/8,1/4,0/0,0/0
11/04/2023,at Lake Forest,0-4,0/4,0/3,7/9,5/6,5/3,0/0,0/0
Totals,,,33/12,16/7,311/185,156/100,96/52,3/2,0/0
