Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
09/01/2023,at Dubuque,2-0,2,2,6,10,0.2,7,0.7,1-0,1,0-0,990
9/2/2023,at Coe,1-0,1,0,2,12,0.083,6,0.5,0-0,1,0-0,990
09/09/2023,at Carleton,0-2,0,0,0,2,0.0,1,0.5,0-0,0,0-0,990
09/10/2023,at Luther,0-0,0,0,0,6,0.0,4,0.667,0-0,0,0-0,990
09/14/2023,vs Simpson,0-2,0,0,0,9,0.0,6,0.667,0-0,0,0-0,990
09/20/2023,vs Central (IA),0-0,0,0,0,9,0.0,5,0.556,0-0,0,0-0,990
09/23/2023,at Lake Forest,1-1,1,0,2,5,0.2,3,0.6,0-0,0,0-0,990
09/26/2023,at Knox,5-0,5,3,13,24,0.208,17,0.708,0-0,1,0-0,990
09/30/2023,vs Ripon,3-0,3,1,7,25,0.12,17,0.68,0-0,1,0-0,990
10/07/2023,vs Illinois Col.,4-0,4,2,10,32,0.125,10,0.313,0-0,1,0-0,990
10/08/2023,vs Saint Mary's (MN),0-1,0,0,0,13,0.0,7,0.538,0-0,0,0-0,990
10/14/2023,vs Augustana (IL),1-0,1,1,3,11,0.091,5,0.455,0-0,1,0-0,990
10/15/2023,vs Buena Vista,7-0,7,1,15,39,0.179,17,0.436,1-0,1,0-0,990
10/18/2023,at Cornell College,2-0,2,1,5,38,0.053,15,0.395,0-0,1,0-0,990
10/21/2023,at Beloit,1-1,1,1,3,11,0.091,6,0.545,0-0,0,0-0,990
10/24/2023,vs Monmouth (IL),4-0,4,3,11,39,0.103,16,0.41,1-0,1,0-0,990
10/28/2023,vs Lawrence,1-1,1,0,2,14,0.071,6,0.429,0-0,0,0-0,990
11/03/2023,vs Lawrence,1-0,1,1,3,5,0.2,3,0.6,0-0,1,0-0,990
11/04/2023,at Lake Forest,0-4,0,0,0,7,0.0,5,0.714,0-0,0,0-0,990
Total,,33-12,33,16,82,311,0.106,156,0.502,3-0,10,0-0,18810
Opponent,,-,12,7,31,185,0.065,100,0.541,2-0,4,-,18817
