Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2020 (Tuesday)",6:30 p.m.,Away,Milwaukee School of Engineering,,,,cancelled,
"September 5, 2020 (Saturday)",1 p.m.,Away,Augustana College,,,,cancelled,
"September 6, 2020 (Sunday)",TBA,Away,Loras College,,,,cancelled,
"September 9, 2020 (Wednesday)",6:30 p.m.,Home,Concordia Univ. Wisconsin,,,,cancelled,
"September 12, 2020 (Saturday)",Noon,Away,St. Olaf College,,,,cancelled,
"September 13, 2020 (Sunday)",2:30 p.m.,Away,College of St. Scholastica,,,,cancelled,
"September 19, 2020 (Saturday)",3 p.m.,Home,North Park Univ.,,,,cancelled,
"September 20, 2020 (Sunday)",3 p.m.,Home,Carroll Univ.,,,,cancelled,
"September 23, 2020 (Wednesday)",6:30 p.m.,Away,Carthage College,,,,cancelled,
"September 27, 2020 (Sunday)",1 p.m.,Away,Lake Forest College,,,,cancelled,
"October 3, 2020 (Saturday)",11 a.m.,Home,Monmouth College,,,,cancelled,
"October 4, 2020 (Sunday)",11 a.m.,Home,Grinnell College,,,,cancelled,
"October 10, 2020 (Saturday)",11 a.m.,Away,Knox College,,,,cancelled,
"October 11, 2020 (Sunday)",11 a.m.,Away,Illinois College,,,,cancelled,
"October 14, 2020 (Wednesday)",6:30 p.m.,Away,UW-Whitewater,,,,cancelled,
"October 17, 2020 (Saturday)",Noon,Home,Beloit College,,,,cancelled,
"October 18, 2020 (Sunday)",2 p.m.,Home,UW-Platteville,,,,cancelled,
"October 21, 2020 (Wednesday)",7 p.m.,Away,Lawrence Univ.,,,,cancelled,
"October 24, 2020 (Saturday)",11 a.m.,Home,Cornell College,,,,cancelled,
"October 27, 2020 (Tuesday)",6:30 p.m.,Home,Ripon College,,,,cancelled,
