Statistic,High,Opponent
AT BATS,32,Lasell College (3/22/2013)
RUNS SCORED,6,Lasell College (3/22/2013)
HITS,12,Univ. of St. Joseph (3/18/2013)
RBIS,6,Lasell College (3/22/2013)
DOUBLES,3,Univ. of St. Joseph (3/18/2013); Univ. of St. Joseph (3/18/2013)
TRIPLES,2,Iowa Wesleyan (4/7/2013)
HOME RUNS,1,Rutgers-Newark (3/19/2013); Lake Forest College (4/27/2013)
WALKS,6,Knox College (4/21/2013)
STRIKEOUTS,18,Webster (3/16/2013)
SAC HITS,2,Univ. of St. Joseph (3/18/2013); Westminster (4/7/2013)
STOLEN BASES,5,Knox College (4/21/2013)
HIT BY PITCH,3,Cornell College (4/16/2013)
CAUGHT STEALING,1,Carroll University (4/13/2013); Cornell College (4/17/2013); Webster (3/16/2013); Lasell College (3/20/2013); Knox College (4/21/2013)
HIT INTO DP,2,Lasell College (3/20/2013)
