Player,Longest,Current
"Wilke, Summer",5,-
"Weber, Kristina",5,-
"Fujimoto, Lindsay",4,-
"Bean, Alyssa",4,-
"Au , Jeanette",3,-
"Campbell, Robin",2,-
"Ryan, Grace",2,-
"Wendt, Aniela",2,-
"Fulton, Jennifer",2,1
"Matosky, Jordan",2,2
"Lee, Connie",1,-
"Hirsh, Alissa",1,-
