#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
15.0,"Bean, Alyssa 15Bean, Alyssa",0.314,0.829,15-15,35,3,11,1,0,1,5,15,0.429,5,0,9,0,0.4,0,0,2-2,View Bio
2.0,"Wilke, Summer 2Wilke, Summer",0.192,0.554,11-11,26,3,5,1,0,0,0,6,0.231,4,1,2,1,0.323,0,0,1-1,View Bio
1.0,"Campbell, Robin 1Campbell, Robin",0.179,0.503,15-15,28,3,5,0,0,0,2,5,0.179,4,2,7,0,0.324,0,1,6-7,View Bio
4.0,"Wendt, Aniela 4Wendt, Aniela",0.171,0.415,15-15,41,3,7,0,0,0,3,7,0.171,4,0,8,0,0.244,0,0,2-2,View Bio
6.0,"Fulton, Jennifer 6Fulton, Jennifer",0.167,0.461,15-15,36,2,6,1,1,0,0,9,0.25,2,0,8,0,0.211,0,2,1-1,View Bio
16.0,"Matosky, Jordan 16Matosky, Jordan",0.161,0.451,15-15,31,2,5,1,0,0,2,6,0.194,4,0,8,0,0.257,0,0,4-4,View Bio
5.0,"Au , Jeanette 5Au , Jeanette",0.135,0.293,15-15,37,1,5,0,0,0,0,5,0.135,0,1,13,0,0.158,0,0,0-0,View Bio
22.0,"Hirsh, Alissa 22Hirsh, Alissa",0.091,0.182,4-4,11,0,1,0,0,0,0,1,0.091,0,0,2,0,0.091,0,1,0-0,View Bio
8.0,"Fujimoto, Lindsay 8Fujimoto, Lindsay",0.059,0.194,15-15,34,0,2,0,0,0,2,2,0.059,1,2,12,0,0.135,0,3,1-3,View Bio
3.0,"Ryan, Grace 3Ryan, Grace",0.032,0.199,15-15,31,0,1,0,0,0,0,1,0.032,4,1,9,0,0.167,0,1,0-0,View Bio
17.0,"Lee, Connie 17Lee, Connie",0.0,0.25,8-0,3,1,0,0,0,0,0,0,0.0,1,0,3,0,0.25,0,0,0-0,View Bio
,Totals,0.153,0.423,15-15,313,18,48,4,1,1,14,57,0.182,29,7,81,1,0.241,0,8,17-20,
,Opponents,0.366,0.929,15-15,429,123,157,32,5,9,102,226,0.527,25,3,33,0,0.402,3,10,31-32,
