Statistic,High,Opponent
INNINGS PITCHED,7.0,Univ. of St. Joseph (3/18/2013); Rutgers-Newark (3/19/2013); UW-Oshkosh (4/6/2013); Lake Forest College (4/27/2013); Monmouth College (4/28/2013)
RUNS ALLOWED,21.0,Iowa Wesleyan (4/6/2013)
EARNED RUNS,20.0,Iowa Wesleyan (4/6/2013)
WALKS ALLOWED,6.0,Frostburg State (3/21/2013); Iowa Wesleyan (4/6/2013); Univ. of St. Joseph (3/18/2013)
STRIKEOUTS,7.0,Monmouth College (4/28/2013)
HITS ALLOWED,23.0,Iowa Wesleyan (4/6/2013)
DOUBLES ALLOWED,8.0,Iowa Wesleyan (4/6/2013)
TRIPLES ALLOWED,2.0,Frostburg State (3/21/2013); Iowa Wesleyan (4/6/2013); Lake Forest College (4/27/2013); Rio Grande (3/21/2013); Rio Grande (3/21/2013)
HOME RUNS ALLOWED,2.0,Westminster (4/7/2013); Lake Forest College (4/27/2013); Knox College (4/21/2013)
WILD PITCHES,3.0,Univ. of St. Joseph (3/18/2013); Iowa Wesleyan (4/6/2013)
HIT BATTERS,3.0,Iowa Wesleyan (4/7/2013)
