#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
6.0,"Fulton, Jennifer 6Fulton, Jennifer",7.85,1.92,1-7,9-8,5,0-0,0,39.0,71,57,34,4,19,15,3,6,197,0.36,6,1,0,3,3,View Bio
2.0,"Wilke, Summer 2Wilke, Summer",8.34,2.34,0-4,5-4,3,0-0,0,22.2,47,34,21,5,8,8,1,2,125,0.376,4,0,0,0,4,View Bio
15.0,"Bean, Alyssa 15Bean, Alyssa",9.27,2.49,0-3,6-3,2,0-0,0,22.1,39,32,23,16,6,9,1,1,107,0.364,2,2,0,0,3,View Bio
,Totals,8.36,2.17,1-14,20-15,10,0,0,84.0,157,123,78,25,33,32,5,9,429,0.366,12,3,0,3,10,
,Opponents,1.1,0.86,14-1,22-15,8,4,1,89.2,48,18,11,29,81,4,1,1,313,0.153,5,7,0,0,8,
