Statistic,High,Player,Opponent
AT BATS,4,Aniela Wendt; Lindsay Fujimoto,Univ. of St. Joseph (3/18/2013); Rutgers-Newark (3/19/2013); Univ. of St. Joseph (3/18/2013); Lasell College (3/20/2013); Lasell College (3/22/2013)
RUNS SCORED,2,Summer Wilke; Jennifer Fulton,Univ. of St. Joseph (3/18/2013); Univ. of St. Joseph (3/18/2013); Lasell College (3/22/2013)
HITS,3,Kristina Weber,Univ. of St. Joseph (3/18/2013)
RBIS,3,Kristina Weber,Univ. of St. Joseph (3/18/2013); Rutgers-Newark (3/19/2013)
DOUBLES,1,Summer Wilke; Robin Campbell; Jeanette Au; Jennifer Fulton,Univ. of St. Joseph (3/18/2013); Rutgers-Newark (3/19/2013); Frostburg State (3/21/2013); Lawrence University (4/13/2013); Cornell College (4/17/2013)
TRIPLES,1,Lindsay Fujimoto; Jennifer Fulton,Iowa Wesleyan (4/7/2013); Illinois College (4/20/2013)
HOME RUNS,1,Kristina Weber; Alyssa Bean,Rutgers-Newark (3/19/2013); Lake Forest College (4/27/2013)
WALKS,2,Alyssa Bean; Summer Wilke; Jennifer Fulton,Iowa Wesleyan (4/6/2013); Carroll University (4/13/2013); Lasell College (3/22/2013); Knox College (4/21/2013)
STRIKEOUTS,3,Lindsay Fujimoto; Weber,UW-Oshkosh (4/6/2013); Webster (3/16/2013); Knox College (4/21/2013)
SAC HITS,2,Grace Ryan,Univ. of St. Joseph (3/18/2013)
STOLEN BASES,2,Robin Campbell; Lindsay Fujimoto,Univ. of St. Joseph (3/18/2013); Lasell College (3/22/2013); Illinois College (4/20/2013)
HIT BY PITCH,1,Aniela Wendt; Lindsay Fujimoto; Jeanette Au; Kristina Weber,Iowa Wesleyan (4/6/2013); Cornell College (4/16/2013); Cornell College (4/17/2013); Monmouth College (4/28/2013); Rio Grande (3/21/2013)
CAUGHT STEALING,1,Lindsay Fujimoto; Wendt; Robin Campbell,Carroll University (4/13/2013); Cornell College (4/17/2013); Webster (3/16/2013); Lasell College (3/20/2013); Knox College (4/21/2013)
HIT INTO DP,1,Robin Campbell; Jordan Matosky; Summer Wilke; Grace Ryan,Frostburg State (3/21/2013); Lawrence University (4/13/2013); Cornell College (4/16/2013); Lake Forest College (4/27/2013); Lasell College (3/20/2013)
