Statistic,High,Player,Opponent
INNINGS PITCHED,7.0,Jennifer Fulton; Alyssa Bean,UW-Oshkosh (4/6/2013); Lake Forest College (4/27/2013); Monmouth College (4/28/2013)
RUNS ALLOWED,18.0,Jennifer Fulton,Lake Forest College (4/27/2013)
EARNED RUNS,16.0,Alyssa Bean,Iowa Wesleyan (4/6/2013)
WALKS ALLOWED,6.0,Alyssa Bean,Univ. of St. Joseph (3/18/2013)
STRIKEOUTS,7.0,Jennifer Fulton,Monmouth College (4/28/2013)
HITS ALLOWED,20.0,Alyssa Bean,Iowa Wesleyan (4/6/2013)
DOUBLES ALLOWED,7.0,Alyssa Bean; Jennifer Fulton,Iowa Wesleyan (4/6/2013); Lake Forest College (4/27/2013)
TRIPLES ALLOWED,2.0,Alyssa Bean; Jennifer Fulton,Iowa Wesleyan (4/6/2013); Lake Forest College (4/27/2013); Rio Grande (3/21/2013)
HOME RUNS ALLOWED,2.0,Jennifer Fulton,Westminster (4/7/2013); Lake Forest College (4/27/2013); Knox College (4/21/2013)
WILD PITCHES,3.0,Alyssa Bean,Univ. of St. Joseph (3/18/2013); Iowa Wesleyan (4/6/2013)
HIT BATTERS,3.0,Summer Wilke,Iowa Wesleyan (4/7/2013)
