Statistic,High,Player,Opponent
PUTOUTS,12,Jeanette Au,Monmouth College (4/28/2013)
ASSISTS,6,Kristina Weber; Jeanette Au; Jennifer Fulton; Grace Ryan,Rutgers-Newark (3/19/2013); UW-Oshkosh (4/6/2013); Monmouth College (4/28/2013); Lasell College (3/22/2013)
ERRORS,6,Jeanette Au,Cornell College (4/17/2013)
PASSED BALLS,5,Kristina Weber,Rio Grande (3/21/2013)
DPS TURNED,1,Summer Wilke,Rutgers-Newark (3/19/2013)
