#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
15.0,"Bean, Alyssa 15 Bean, Alyssa",0.284,0.78,29-29,67,3,19,4,0,1,10,26,0.388,11,1,17,0,0.392,0,0,2-2,View Bio
2.0,"Wilke, Summer 2 Wilke, Summer",0.246,0.667,25-25,65,10,16,4,1,0,2,22,0.338,7,1,8,1,0.329,0,0,1-1,View Bio
6.0,"Fulton, Jennifer 6 Fulton, Jennifer",0.216,0.58,24-22,51,4,11,2,1,0,0,15,0.294,5,0,11,0,0.286,0,3,2-2,View Bio
4.0,"Wendt, Aniela 4 Wendt, Aniela",0.198,0.496,29-29,81,8,16,1,0,0,4,17,0.21,9,1,13,0,0.286,0,0,3-4,View Bio
8.0,"Fujimoto, Lindsay 8 Fujimoto, Lindsay",0.162,0.461,29-29,68,5,11,2,1,0,3,15,0.221,5,2,25,0,0.24,0,6,4-7,View Bio
1.0,"Campbell, Robin 1 Campbell, Robin",0.159,0.407,29-29,63,4,10,1,0,0,4,11,0.175,4,2,17,0,0.232,0,1,10-11,View Bio
16.0,"Matosky, Jordan 16 Matosky, Jordan",0.143,0.417,29-29,56,5,8,2,0,0,4,10,0.179,6,1,21,0,0.238,0,0,4-4,View Bio
5.0,"Au , Jeanette 5 Au , Jeanette",0.127,0.303,29-29,71,2,9,1,0,0,1,10,0.141,1,2,23,0,0.162,0,0,0-0,View Bio
3.0,"Ryan, Grace 3 Ryan, Grace",0.127,0.384,29-29,63,4,8,0,0,0,3,8,0.127,10,1,16,1,0.257,0,3,1-1,View Bio
7.0,"Weber, Kristina 7 Weber, Kristina",0.32,0.85,9-9,25,4,8,1,0,1,10,12,0.48,1,1,7,0,0.37,0,0,0-0,View Bio
22.0,"Hirsh, Alissa 22 Hirsh, Alissa",0.091,0.182,4-4,11,0,1,0,0,0,0,1,0.091,0,0,2,0,0.091,0,1,0-0,View Bio
17.0,"Lee, Connie 17 Lee, Connie",0.0,0.167,14-0,5,1,0,0,0,0,0,0,0.0,1,0,5,0,0.167,0,0,0-0,View Bio
,Totals,0.187,0.506,29-29,626,50,117,18,3,2,41,147,0.235,60,12,165,2,0.271,0,14,27-32,
,Opponents,0.391,1.007,29-29,854,281,334,74,15,14,222,480,0.562,79,12,69,0,0.445,9,17,56-60,
